time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.396882	1.570796	5.942000	0.000000	4.000000
0.600000	-1.750000	194.005813	1.570796	6.236000	2.940000	0.000000
0.700000	-1.750000	194.614679	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750017	195.196460	1.571028	5.781585	0.980000	2.000000
0.900000	-1.750912	195.779538	1.574179	5.879585	0.980000	2.000000
1.000000	-1.754666	196.372392	1.580511	5.977585	0.980000	2.000000
1.100000	-1.762728	196.955329	1.588968	5.683585	-2.940000	3.000000
1.200000	-1.775212	197.508719	1.597598	5.389585	-2.940000	3.000000
1.300000	-1.791331	198.037906	1.604470	5.200540	-1.890451	7.000000
1.400000	-1.809599	198.548145	1.608097	5.011497	-1.890433	7.000000
1.500000	-1.827987	199.039468	1.607626	4.822454	-1.890423	7.000000
1.600000	-1.844438	199.511887	1.602958	4.633413	-1.890414	7.000000
1.700000	-1.857252	199.965475	1.594660	4.444374	-1.890386	7.000000
1.800000	-1.865311	200.400265	1.583727	4.255340	-1.890344	7.000000
1.900000	-1.868141	200.816257	1.571348	4.066310	-1.890298	7.000000
2.000000	-1.865525	201.237705	1.557904	4.360310	2.940000	0.000000
2.100000	-1.856434	201.688510	1.543630	4.654310	2.940000	0.000000
2.200000	-1.839926	202.168449	1.529547	4.948310	2.940000	0.000000
2.300000	-1.815526	202.677437	1.516682	5.242310	2.940000	0.000000
2.400000	-1.783334	203.215517	1.505994	5.536310	2.940000	0.000000
2.500000	-1.744843	203.772756	1.498274	5.634310	0.980000	2.000000
2.600000	-1.701459	204.349329	1.493652	5.928310	2.940000	0.000000
2.700000	-1.653943	204.955025	1.491776	6.222310	2.940000	0.000000
2.800000	-1.603593	205.590043	1.491764	6.516310	2.940000	0.000000
2.900000	-1.551130	206.254377	1.492131	6.810310	2.940000	0.000000
3.000000	-1.496209	206.947949	1.491016	7.104310	2.940000	0.000000
3.100000	-1.436945	207.670704	1.486193	7.398310	2.940000	0.000000
3.200000	-1.369450	208.422268	1.475148	7.692310	2.940000	0.000000
3.300000	-1.287390	209.201910	1.455188	7.986310	2.940000	0.000000
3.400000	-1.181600	210.008321	1.423666	8.280310	2.940000	0.000000
3.500000	-1.040016	210.839045	1.378277	8.574310	2.940000	0.000000
3.600000	-0.848063	211.689684	1.317244	8.868310	2.940000	0.000000
