time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	429.258130	3.220459	2157.653537	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	418.994372	-6.943344	2157.652694	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	765.176134	567.900113	2186.592809	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	812.891015	454.611078	2199.165020	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	764.659900	566.938583	2183.289087	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	811.800245	242.569074	2109.716475	3951.800330	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	789.701792	438.241707	2120.213638	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	801.911263	449.589009	2117.901634	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	948.011881	538.732923	2118.775761	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	629.034404	0.000000	2116.112542	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	945.601949	535.529482	2118.744165	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	641.232725	0.000000	2116.884278	4725.358047	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	546.021846	0.000000	2120.811967	3758.080125	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	940.204610	528.447429	2118.669773	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	383.008274	0.000000	2126.539578	2107.151485	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	630.049122	444.521562	34.134690	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	556.859777	0.000000	2076.941043	3880.272677	31.000000	0.000000	1	0	0	0	0	0	0	0
1.7	411.402764	0.000000	2125.377872	2266.117484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	615.388656	0.000000	2115.626269	4500.928285	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	394.316724	435.092913	22.732900	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	587.557597	0.000000	2115.794032	4211.869964	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	587.679875	0.000000	2115.794145	4215.288993	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	406.108103	445.165132	22.732900	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	422.963346	450.207126	22.732900	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	400.566644	439.853377	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	399.024000	437.410745	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	397.206876	434.693631	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	394.887835	432.474600	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	393.543086	430.229861	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	388.883076	425.669861	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	385.736183	422.622978	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	383.365788	419.352592	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	373.621805	409.708598	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	363.653789	398.840597	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	352.265128	387.551950	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
