time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	524.693918	-9.250000	2223.328044	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	548.285335	0.630000	2260.994186	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	996.508337	564.046646	2291.840797	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	984.066130	563.933244	2258.187250	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	984.857143	563.824255	2258.187063	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	987.700464	566.536372	2263.626477	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	995.937785	573.986675	2261.213332	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	986.468775	563.617429	2261.214637	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	986.485087	563.733808	2261.214264	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	5073.839703	4650.188481	2261.213951	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	988.226475	563.675299	2261.213698	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	987.835596	563.384461	2261.213470	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	721.546358	0.000000	2215.909959	5305.916850	32.000000	0.000000	1	0	0	0	0	0	0	0
1.3	725.651150	0.000000	2264.370770	5304.182885	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	723.105786	0.000000	2216.932640	5314.567588	30.000000	0.000000	1	0	0	0	0	0	0	0
1.5	726.022081	0.000000	2263.349940	5291.471669	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	759.824618	0.000000	2261.824822	5815.208992	39.000000	0.000000	1	0	1	0	0	0	0	0
1.7	923.973858	750.890101	24.375403	2075.700691	38.000000	0.000000	0	0	1	0	0	0	0	0
1.8	697.422822	689.372179	24.375403	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	692.399569	684.773604	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.0	680.230425	671.704490	0.000000	504.901058	36.000000	0.000000	0	0	0	0	0	0	0	0
2.1	500.023105	539.584551	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	981.825573	0.000000	2217.085292	8035.922359	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	520.419578	556.715505	24.375403	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.4	510.463861	548.369724	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.5	515.513744	551.731094	24.375403	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.6	500.848377	538.118062	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.7	2516.722878	0.000000	22745.938048	2865.877939	12.000000	0.000000	1	0	0	0	0	0	0	2
2.8	523.861866	558.495300	24.375403	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
2.9	463.562802	0.000000	2216.516023	2579.460588	12.000000	0.000000	1	0	0	0	0	0	0	0
