time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.282223	1.570796	6.824000	-5.880000	1.000000
0.400000	-1.750000	192.964623	1.570796	6.824000	0.000000	4.000000
0.500000	-1.750000	193.632248	1.570796	6.530000	-2.940000	3.000000
0.600000	-1.750000	194.270458	1.570796	6.236000	-2.940000	3.000000
0.700000	-1.750000	194.879325	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750217	195.471268	1.572108	5.959985	0.980000	2.000000
0.900000	-1.752343	196.072163	1.577111	6.057985	0.980000	2.000000
1.000000	-1.758567	196.682840	1.585283	6.155985	0.980000	2.000000
1.100000	-1.770778	197.303236	1.595942	6.253985	0.980000	2.000000
1.200000	-1.790501	197.933247	1.608371	6.351985	0.980000	2.000000
1.300000	-1.818850	198.572741	1.621812	6.449985	0.980000	2.000000
1.400000	-1.856468	199.221573	1.635460	6.547985	0.980000	2.000000
1.500000	-1.903473	199.879616	1.648478	6.645985	0.980000	2.000000
1.600000	-1.959408	200.546793	1.660005	6.743985	0.980000	2.000000
1.700000	-2.023206	201.223104	1.669193	6.841985	0.980000	2.000000
1.800000	-2.093175	201.908649	1.675205	6.939985	0.980000	2.000000
1.900000	-2.166960	202.603643	1.677200	7.037985	0.980000	2.000000
2.000000	-2.241521	203.308416	1.674347	7.135985	0.980000	2.000000
2.100000	-2.312614	204.018462	1.665888	7.135985	0.000000	4.000000
2.200000	-2.375955	204.734170	1.651266	7.233985	0.980000	2.000000
2.300000	-2.427106	205.460674	1.629887	7.331985	0.980000	2.000000
2.400000	-2.460494	206.198011	1.601137	7.429985	0.980000	2.000000
2.500000	-2.469854	206.945827	1.564363	7.527985	0.980000	2.000000
2.600000	-2.448224	207.703169	1.518977	7.625985	0.980000	2.000000
2.700000	-2.388223	208.468237	1.465040	7.723985	0.980000	2.000000
2.800000	-2.282644	209.238214	1.403020	7.821985	0.980000	2.000000
2.900000	-2.124594	210.009120	1.333120	7.919985	0.980000	2.000000
3.000000	-1.907470	210.775655	1.255308	8.017985	0.980000	2.000000
3.100000	-1.624972	211.531003	1.169416	8.115985	0.980000	2.000000
