time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	506.808645	-9.250000	2043.576121	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	423.248220	2.253018	2113.586119	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	959.469824	551.356900	2149.634080	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	957.942667	555.916249	2076.346171	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	970.405997	555.048986	2107.858118	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	947.581021	544.948814	2070.127285	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	780.533192	433.086333	2069.159675	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	948.193929	544.761706	2070.126952	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	659.142802	0.000000	2070.008532	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	659.863209	0.000000	2070.008553	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	944.913009	539.790397	2070.079796	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	574.377043	0.000000	2074.540264	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	662.439053	0.000000	2070.276307	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	664.701470	0.000000	2070.276209	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	576.648357	0.000000	2075.158403	4100.373543	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	936.575147	528.978893	2069.950528	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	438.639554	0.000000	2081.707866	2685.162749	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	683.383355	0.000000	2070.133458	5231.528107	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	629.750748	622.962470	19.220147	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	434.141201	474.464273	19.220147	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	951.981258	518.832824	33.709743	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	465.556229	505.014709	19.220147	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	453.527916	492.086412	19.220147	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	452.957177	490.615693	19.220147	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	449.916496	487.675035	19.220147	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	935.128669	492.791000	2060.124879	2797.999482	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	475.500953	512.422504	19.220147	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	474.805199	510.826769	19.220147	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	469.288893	505.410479	19.220147	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	458.885192	494.106789	19.220147	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	2367.106768	2402.428368	19.220147	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	432.849488	467.271093	19.220147	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
