time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	506.101368	-9.250000	2036.467788	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	422.591100	3.002410	2099.436881	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	957.554353	550.621846	2137.635706	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	956.627202	555.218378	2070.068621	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	969.558149	554.512798	2104.690244	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	946.556571	544.412632	2065.164269	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	947.360829	544.316874	2065.164078	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	947.169496	544.225534	2065.164006	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	658.651506	0.000000	2065.070617	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	945.800903	541.061092	2065.146120	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	945.395056	540.755283	2065.145956	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	578.890220	0.000000	2069.024985	4143.074485	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	669.971068	0.000000	2065.692114	5058.227966	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	671.148110	0.000000	2065.691882	5049.197623	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	941.512024	534.287529	2065.080140	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	680.296557	0.000000	2066.242936	5149.878972	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	448.013678	0.000000	2074.775132	2790.428651	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	698.213263	0.000000	2065.526058	5395.017827	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	442.138982	482.988804	22.915075	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	442.093359	482.043183	22.915075	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	824.555265	0.000000	2063.837225	6643.055977	37.000000	0.000000	1	0	1	0	0	0	0	0
2.1	450.667137	489.805401	22.915075	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	609.095322	0.000000	2066.503292	4467.512072	36.000000	0.000000	1	0	1	0	0	0	0	0
2.3	453.446612	490.776232	22.915075	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	453.414698	490.844342	22.915075	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	940.338974	500.951751	2021.021557	2797.999482	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	473.628416	511.559209	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	491.077675	527.455792	22.915075	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	474.317353	510.795482	22.915075	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	463.443221	499.021355	22.915075	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	1577.052783	0.000000	11689.497955	4374.733388	22.000000	0.000000	1	0	0	0	0	0	0	1
3.1	445.202693	480.942279	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
