time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.740109	-9.250000	2062.987862	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	531.726647	0.630000	2094.574808	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	964.004360	547.487959	2129.764637	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	951.154061	547.374559	2091.963003	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	951.945077	547.265571	2091.962829	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	951.740510	547.161004	2091.962802	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	952.540342	547.060832	2091.962571	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	953.864458	547.484712	2091.963816	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	663.107462	0.000000	2092.639310	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	950.919236	543.744841	2091.935554	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	950.165902	543.091561	2091.935264	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	683.588582	0.000000	2093.890006	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	949.572973	540.703355	2091.910321	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	601.467603	0.000000	2099.491050	4313.647343	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	948.164538	538.502103	2091.872382	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	693.396377	0.000000	2094.817112	5234.092312	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	751.053120	0.000000	2093.626027	5886.619207	39.000000	0.000000	1	0	1	0	0	0	0	0
1.7	750.989836	0.000000	2093.626316	5891.408511	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	478.291209	518.672161	19.220147	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	681.432945	662.024578	19.220147	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.0	659.394374	651.731026	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	475.629772	515.058111	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	475.949227	514.477600	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	472.508027	511.136435	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	486.461298	523.261970	19.220147	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	948.010131	503.840479	2079.247274	2797.999482	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	500.777361	536.744174	19.220147	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	939.126722	496.808558	2044.122469	2797.999482	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	504.602251	540.804017	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	491.606651	527.908440	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	2350.475343	0.000000	21417.314342	2543.889187	11.000000	0.000000	1	0	0	0	0	0	0	2
