time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	516.674657	0.634427	3065.244503	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	997.768305	548.138733	3135.230845	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	988.552882	538.023277	3135.230321	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	986.365161	542.415020	3066.146434	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-10.074968	2.021710	0.855384	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	987.824095	542.092245	3065.131545	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	977.632757	532.000903	3065.131456	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1134.822720	632.426062	3065.953892	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	724.056538	0.000000	3063.658569	4605.776895	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.083448	0.000000	2.532794	27.783263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.223104	0.000000	2.527474	26.883263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	977.650995	0.000000	10002.598934	26.278184	13.000000	0.000000	0	0	0	0	0	0	0	1
1.3	-16.527234	0.000000	2.596933	25.233263	12.000000	0.000000	0	0	0	0	0	0	0	0
1.4	-16.767654	0.000000	2.595726	23.883263	12.000000	0.000000	0	0	0	0	0	1	0	0
1.5	960.264400	0.000000	10002.595710	21.633263	11.000000	0.000000	0	0	0	0	0	0	0	1
1.6	-16.373627	0.000000	2.595342	19.678184	11.000000	0.000000	0	0	0	0	0	0	0	0
1.7	950.805508	0.000000	10002.592642	17.583263	11.000000	0.000000	0	0	0	0	0	1	0	1
1.8	-15.969653	0.000000	2.592345	15.663602	10.000000	0.000000	0	0	0	0	0	0	0	0
1.9	-16.259125	0.000000	2.582330	13.828184	10.000000	0.000000	0	0	0	0	0	0	0	0
2.0	966.781143	512.722506	3066.873746	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	-6.046471	0.000000	2.649014	10.229224	9.000000	0.000000	0	0	0	0	0	0	0	0
2.2	-15.364757	0.000000	2.009671	8.430824	8.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.666389	0.000000	1.372082	6.666272	8.000000	0.000000	0	0	0	0	0	0	0	0
2.4	-15.961871	0.000000	0.832836	4.986457	8.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-16.194896	0.000000	0.449993	3.630526	8.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.316182	0.000000	0.228771	3.153421	7.000000	0.000000	0	0	0	0	0	0	0	0
2.7	-15.410739	0.000000	0.141603	2.820926	7.000000	0.000000	0	0	0	0	0	0	0	0
2.8	902.385852	0.000000	10000.140344	2.586080	7.000000	0.000000	0	0	0	0	0	0	0	1
4.6	963.727805	1001.539436	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.7	251.616577	289.529873	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.8	252.577108	290.591219	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.9	252.333765	290.448166	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.0	251.648573	289.863000	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.1	279.636598	317.906623	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.2	280.958627	318.328742	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.3	280.924026	318.394162	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.4	280.437996	318.008171	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.5	281.004171	318.674395	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.6	269.649654	306.246913	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.7	260.429446	296.126703	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.8	259.906044	295.703313	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.9	259.032603	294.929894	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.0	260.766626	296.763947	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.1	63.288693	39.888301	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.2	53.071999	39.621363	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.3	52.953221	39.602608	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.4	-27.640911	6.904456	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.5	-36.853172	-3.207777	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.6	-37.019135	-3.273713	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.7	-37.132175	-3.286727	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.8	-36.317224	-3.371752	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.9	-36.533280	-3.487837	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.0	-36.763593	-3.618122	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.1	-35.931087	-3.685591	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.2	-36.176287	-3.830769	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.3	-36.458752	-4.013215	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
