time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.396882	1.570796	5.942000	0.000000	4.000000
0.600000	-1.750000	194.005813	1.570796	6.236000	2.940000	0.000000
0.700000	-1.750000	194.614679	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750017	195.196460	1.571028	5.781585	0.980000	2.000000
0.900000	-1.750866	195.766199	1.574035	5.614323	-1.672622	7.000000
1.000000	-1.754177	196.332554	1.579503	5.712323	0.980000	2.000000
1.100000	-1.760909	196.894463	1.586084	5.528113	-1.842104	7.000000
1.200000	-1.770944	197.437891	1.592235	5.343904	-1.842089	7.000000
1.300000	-1.783458	197.962856	1.596659	5.159697	-1.842070	7.000000
1.400000	-1.797140	198.469408	1.598487	4.975491	-1.842054	7.000000
1.500000	-1.810499	198.957522	1.597352	4.791287	-1.842048	7.000000
1.600000	-1.822137	199.427205	1.593377	4.607083	-1.842036	7.000000
1.700000	-1.830967	199.878499	1.587061	4.422882	-1.842007	7.000000
1.800000	-1.836324	200.311429	1.579127	4.238686	-1.841967	7.000000
1.900000	-1.837976	200.726013	1.570369	4.054493	-1.841925	7.000000
2.000000	-1.836057	201.122224	1.561533	3.870303	-1.841896	7.000000
2.100000	-1.830550	201.523930	1.552719	4.164303	2.940000	0.000000
2.200000	-1.821623	201.925543	1.544580	3.870303	-2.940000	3.000000
2.300000	-1.810602	202.297480	1.538034	3.576303	-2.940000	3.000000
2.400000	-1.798483	202.639861	1.533057	3.282303	-2.940000	3.000000
2.500000	-1.786058	202.952949	1.529358	2.988303	-2.940000	3.000000
2.600000	-1.773882	203.236551	1.526516	2.694303	-2.940000	3.000000
2.700000	-1.762314	203.490387	1.524077	2.400303	-2.940000	3.000000
2.800000	-1.751547	203.714822	1.521672	2.106303	-2.940000	3.000000
2.900000	-1.741312	203.917599	1.519000	1.955620	-1.506832	7.000000
3.000000	-1.721470	204.277470	1.511965	1.654254	-1.506832	7.000000
3.100000	-1.711853	204.434264	1.507443	1.503675	-1.505791	7.000000
3.200000	-1.702476	204.575787	1.502355	1.353257	-1.504174	7.000000
3.300000	-1.693425	204.702211	1.496915	1.203089	-1.501678	7.000000
3.400000	-1.684821	204.813899	1.491371	1.053254	-1.498359	7.000000
3.500000	-1.676801	204.911240	1.485934	0.903740	-1.495135	7.000000
3.600000	-1.669668	204.992096	1.480860	0.754324	-1.494159	7.000000
3.700000	-1.663704	205.055651	1.476224	0.606256	-1.480683	7.000000
3.800000	-1.659333	205.099986	1.472917	0.463029	-1.432271	7.000000
3.900000	-1.652733	205.166240	1.467023	0.176575	-1.432271	7.000000
4.000000	-1.651754	205.175517	1.465533	0.085920	-0.906547	7.000000
4.100000	-1.650851	205.184062	1.465533	0.085920	0.000000	4.000000
4.200000	-1.649949	205.192606	1.465533	0.085920	0.000000	4.000000
4.300000	-1.649046	205.201150	1.465533	0.085920	0.000000	4.000000
4.400000	-1.648143	205.209695	1.465533	0.085920	0.000000	4.000000
4.500000	-1.647240	205.218239	1.465533	0.085920	0.000000	4.000000
4.600000	-1.646338	205.226784	1.465533	0.085920	0.000000	4.000000
4.700000	-1.645435	205.235328	1.465533	0.085920	0.000000	4.000000
4.800000	-1.644532	205.243873	1.465533	0.085920	0.000000	4.000000
4.900000	-1.643629	205.252417	1.465533	0.085920	0.000000	4.000000
5.000000	-1.638892	205.295030	1.460860	0.379920	2.940000	0.000000
5.100000	-1.631779	205.356403	1.454127	0.673920	2.940000	0.000000
5.200000	-1.621457	205.440510	1.444892	0.967920	2.940000	0.000000
5.300000	-1.606605	205.551896	1.432645	1.261920	2.940000	0.000000
5.400000	-1.585778	205.692708	1.417131	1.555920	2.940000	0.000000
5.500000	-1.557886	205.861622	1.398470	1.849920	2.940000	0.000000
5.600000	-1.521502	206.057976	1.376700	2.143920	2.940000	0.000000
5.700000	-1.474292	206.282656	1.351663	2.437920	2.940000	0.000000
5.800000	-1.414305	206.534572	1.323408	2.731920	2.940000	0.000000
5.900000	-1.342007	206.803195	1.293028	2.829920	0.980000	2.000000
6.000000	-1.258647	207.078802	1.261527	2.927920	0.980000	2.000000
6.100000	-1.163412	207.360845	1.228847	3.025920	0.980000	2.000000
6.200000	-1.055363	207.648745	1.194886	3.123920	0.980000	2.000000
6.300000	-0.933594	207.941791	1.159514	3.221920	0.980000	2.000000
6.400000	-0.797197	208.239157	1.122574	3.319920	0.980000	2.000000
6.500000	-0.645220	208.539900	1.083888	3.417920	0.980000	2.000000
6.600000	-0.476674	208.842942	1.043259	3.515920	0.980000	2.000000
6.700000	-0.290537	209.147049	1.000489	3.613920	0.980000	2.000000
6.800000	-0.085770	209.450809	0.955392	3.711920	0.980000	2.000000
6.900000	0.138660	209.752621	0.907812	3.809920	0.980000	2.000000
7.000000	0.383743	210.050681	0.857640	3.907920	0.980000	2.000000
7.100000	0.650387	210.342985	0.804841	4.005920	0.980000	2.000000
7.200000	0.939435	210.627308	0.749467	4.103920	0.980000	2.000000
7.300000	1.251511	210.901259	0.691694	4.201920	0.980000	2.000000
7.400000	1.586920	211.162378	0.631848	4.299920	0.980000	2.000000
7.500000	1.945648	211.408193	0.570404	4.397920	0.980000	2.000000
7.600000	2.327328	211.636335	0.507998	4.495920	0.980000	2.000000
7.700000	2.731228	211.844665	0.445421	4.593920	0.980000	2.000000
