time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	459.596836	2.715443	2467.935557	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	449.342948	-7.438501	2467.934827	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	857.459466	630.367677	2488.442367	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	872.800225	484.931443	2499.324214	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	857.137264	629.556304	2485.582838	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	875.822878	275.155749	2426.443748	3951.800330	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	852.092154	469.549119	2435.529542	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	864.015636	480.579789	2433.528392	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1010.420537	570.101320	2434.284990	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	660.476923	0.000000	2431.979848	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-7.989790	0.000000	2.133629	27.976288	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.153136	0.000000	2.132130	27.033263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	-17.259435	0.000000	1.865339	26.428184	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	1009.805145	0.000000	10361.548098	25.678184	13.000000	0.000000	0	0	0	0	0	1	0	1
1.4	25378.354503	24986.946373	2478.467164	1874.833062	32.000000	0.000000	1	0	1	0	1	0	0	0
1.5	-7.026530	0.000000	1.741406	22.113865	12.000000	0.000000	0	0	0	0	0	0	0	0
1.6	1001.318110	0.000000	10361.594116	20.283263	11.000000	0.000000	0	0	0	0	0	1	0	1
1.7	-16.531363	0.000000	2.100625	18.063865	11.000000	0.000000	0	0	0	0	0	1	0	0
1.8	994.023239	0.000000	10361.591779	16.528184	10.000000	0.000000	0	0	0	0	0	1	0	1
1.9	956.590665	507.084154	2489.924282	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
2.0	974.227840	496.872610	2461.013010	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	975.205775	497.950608	2461.012545	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	975.184848	498.030461	2461.006836	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
2.3	975.742581	497.688146	2461.007185	2797.999482	38.000000	0.000000	1	0	1	0	0	0	0	0
2.4	974.823890	496.869445	2461.007263	2797.999482	38.000000	0.000000	1	0	1	0	0	0	0	0
2.5	816.286656	423.460655	2436.223076	1957.533612	37.000000	0.000000	1	0	1	0	0	0	0	0
2.6	972.271096	492.529369	2460.914053	2797.999482	36.000000	0.000000	1	0	1	0	0	0	0	0
2.7	928.755476	495.522064	22.810742	4660.399376	36.000000	0.000000	0	0	1	0	0	0	0	0
2.8	833.245116	438.710567	2435.637806	1957.533612	35.000000	0.000000	1	0	1	0	0	0	0	0
2.9	676.680900	666.811768	11.941470	504.901058	35.000000	0.000000	0	0	1	0	0	0	0	0
3.0	682.574167	672.752338	11.941470	504.901058	34.000000	0.000000	0	0	1	0	0	0	0	0
3.1	672.442534	662.720717	11.941470	504.901058	34.000000	0.000000	0	0	1	0	0	0	0	0
3.2	3562.251128	0.000000	33474.815566	2504.246918	13.000000	0.000000	1	0	0	0	0	1	0	3
3.3	681.481130	670.229447	0.000000	504.901058	33.000000	0.000000	0	0	0	0	0	0	0	0
3.4	666.510723	0.000000	2414.756684	4652.057010	32.000000	0.000000	1	0	0	0	0	0	0	0
3.5	1707.058767	0.000000	12821.544990	4619.691481	32.000000	0.000000	1	0	1	0	0	0	0	1
3.6	664.211854	0.000000	2462.052462	4600.806805	31.000000	0.000000	1	0	1	0	0	0	0	0
3.7	6847.364214	0.000000	64619.005800	4531.149470	31.000000	0.000000	1	0	1	0	0	0	0	6
