time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	512.414504	-7.443068	3102.468698	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.363627	0.527667	0.897005	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.565987	-9.574693	0.897005	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	986.231698	542.320421	3065.519313	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-31.459970	-9.777197	0.613327	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	977.835784	532.124485	3065.518880	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	988.740793	543.136537	3064.891147	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	976.279958	0.000000	10001.714796	26.883276	15.000000	0.000000	0	0	0	0	0	1	0	1
0.9	1074.704152	572.594385	3063.670808	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.190978	0.000000	1.923593	26.133276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	966.495842	0.000000	10001.791658	25.233276	13.000000	0.000000	0	0	0	0	0	0	0	1
1.2	-17.480655	0.000000	1.335588	24.483276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	972.308664	0.000000	10001.691642	23.733276	12.000000	0.000000	0	0	0	0	0	1	0	1
1.4	19706.221302	19252.364970	3111.430119	1874.833062	32.000000	0.000000	1	0	1	0	1	0	0	0
1.5	-7.137069	0.000000	1.449181	21.183276	12.000000	0.000000	0	0	0	0	0	0	0	0
1.6	12788.210294	12333.419783	3115.290473	1874.833062	31.000000	0.000000	1	0	1	0	1	0	0	0
1.7	-6.782976	0.000000	1.804878	17.133276	11.000000	0.000000	0	0	0	0	0	0	0	0
1.8	971.751831	0.000000	10001.843670	14.913874	10.000000	0.000000	0	0	0	0	0	1	0	1
1.9	-16.270068	0.000000	1.835940	13.378197	10.000000	0.000000	0	0	0	0	0	0	0	0
2.0	-15.582084	0.000000	1.721557	11.313874	9.000000	0.000000	0	0	0	0	0	0	0	0
2.1	965.766317	511.732992	3066.139634	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	-6.368106	0.000000	1.592777	8.135247	9.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.650189	0.000000	1.157281	6.335760	8.000000	0.000000	0	0	0	0	0	0	0	0
2.4	-15.890950	0.000000	0.794315	4.986100	8.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-16.078078	0.000000	0.531276	3.935861	8.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.186359	0.000000	0.367618	3.474400	7.000000	0.000000	0	0	0	0	0	0	0	0
2.7	-15.271775	0.000000	0.282881	2.988747	7.000000	0.000000	0	0	0	0	0	0	0	0
2.8	-15.332610	0.000000	0.245433	2.649323	7.000000	0.000000	0	0	0	0	0	0	0	0
