time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	426.902287	3.206037	2134.099288	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	416.638829	-6.957484	2134.098629	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	760.039043	565.135625	2162.572997	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	807.842140	452.200531	2172.400930	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	759.760213	564.340267	2159.990415	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	810.020264	242.088356	2096.625986	3951.800330	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	786.596867	436.653079	2104.831815	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	798.916595	448.060889	2103.024478	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	944.972638	537.176088	2103.707800	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	627.592355	0.000000	2101.625911	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	942.556208	533.965471	2103.683100	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	639.774358	0.000000	2102.229192	4725.358047	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	544.478600	0.000000	2105.299540	3758.080125	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	937.148739	526.871689	2103.624947	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	381.341104	0.000000	2109.776922	2107.151485	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	628.756753	443.939409	26.921093	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	556.245334	0.000000	2070.767451	3880.272677	31.000000	0.000000	1	0	0	0	0	0	0	0
1.7	409.757397	0.000000	2108.868794	2266.117484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	613.954910	0.000000	2101.245783	4500.928285	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	392.198853	433.438258	18.008099	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	586.119752	0.000000	2101.376926	4211.869964	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	586.244575	0.000000	2101.377014	4215.288993	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	403.969939	443.490183	18.008099	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	421.674960	449.381956	18.008099	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	399.741343	439.028076	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	398.198548	436.585292	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	396.381262	433.868017	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	394.062052	431.648817	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	392.717126	429.403901	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	388.060553	424.847339	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	384.913580	421.800375	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	382.543101	418.529906	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	372.799045	408.885838	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	362.830935	398.017743	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	351.442175	386.728997	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
