time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	520.451095	-9.250000	2180.686505	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	544.035432	0.630000	2218.281496	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	989.082000	559.796744	2259.553866	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	975.624925	559.683343	2215.584666	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	976.415939	559.574355	2215.584486	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	976.211373	559.469788	2215.584458	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	977.011203	559.369615	2215.584219	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	978.348456	559.806627	2215.585505	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	675.414888	0.000000	2216.282990	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	975.399832	556.063444	2215.556323	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	974.620550	555.384218	2215.556023	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	695.898197	0.000000	2217.574401	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	974.043910	553.012381	2215.530269	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	703.052038	0.000000	2218.217233	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	973.327877	551.500840	2215.506177	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	709.666813	0.000000	2218.868071	5282.111736	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	670.677963	663.319877	24.825599	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	985.112238	553.137108	40.313442	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	494.307228	523.130034	24.825599	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	728.680721	0.000000	2215.616576	5421.550651	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	683.263190	675.517169	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	509.625096	547.633143	24.825599	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	501.783927	540.296246	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	490.865676	529.478029	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	503.619779	539.860210	24.825599	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	585.936816	0.000000	2218.064217	4077.873039	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	503.579889	539.765351	24.825599	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	488.381910	525.670689	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	466.566713	502.955498	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	453.047610	489.536401	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	2395.464411	0.000000	22302.960877	2120.378506	11.000000	0.000000	1	0	0	1	0	0	0	2
