time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	524.723946	-9.250000	2223.629830	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	548.293521	0.630000	2261.076464	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	996.558628	564.054833	2292.268767	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	984.086973	563.941431	2258.315887	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	984.877986	563.832442	2258.315703	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	987.701474	566.533563	2263.665280	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	995.947599	573.988750	2261.291991	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	986.478547	563.619464	2261.293274	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	986.494870	563.735854	2261.292907	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	5063.799867	4640.140907	2261.292599	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	988.236273	563.677359	2261.292350	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	987.845400	563.386527	2261.292126	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	988.160417	562.801587	2261.291890	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	988.268224	562.009438	2261.291645	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	653.655991	0.000000	2223.005480	4600.563547	30.000000	0.000000	1	0	0	0	0	0	0	0
1.5	659.230560	0.000000	2271.406378	4626.447889	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	699.388001	681.263928	24.375403	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	908.917932	735.849499	24.375403	2075.700691	38.000000	0.000000	0	0	1	0	0	0	0	0
1.8	694.104800	686.064036	24.375403	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	687.563549	679.952637	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.0	692.539810	682.664919	24.375403	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.1	504.029095	543.669621	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	987.347918	530.743065	2203.282787	2797.999482	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	527.354388	563.678587	24.375403	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.4	1533.621770	0.000000	12445.514097	3166.268237	14.000000	0.000000	1	0	0	0	0	1	0	1
2.5	552.213445	588.390587	24.375403	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.6	530.605229	567.774336	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.7	495.035691	0.000000	2210.313489	2889.932106	12.000000	0.000000	1	0	0	0	0	0	0	0
2.8	540.539540	575.115011	24.375403	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
2.9	518.520682	553.196174	24.375403	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
