time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	511.157493	-9.250000	2087.283235	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	533.955913	0.630000	2116.979545	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	967.836292	549.717226	2146.054947	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	955.609116	549.603828	2114.587042	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	956.400135	549.494842	2114.586883	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	956.195569	549.390275	2114.586858	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	956.995405	549.290106	2114.586646	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	958.321719	549.716194	2114.587786	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	665.353794	0.000000	2115.206562	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	955.374688	545.974280	2114.561898	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	954.616672	545.316317	2114.561632	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	685.824123	0.000000	2116.352243	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	954.025858	542.930018	2114.538784	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	603.657759	0.000000	2121.482992	4313.647343	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	952.614621	540.725652	2114.504030	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	695.625198	0.000000	2117.201504	5234.092312	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	753.294352	0.000000	2116.110429	5886.619207	39.000000	0.000000	1	0	1	0	0	0	0	0
1.7	753.229825	0.000000	2116.110694	5891.408511	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	480.320190	520.784696	18.367896	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	683.764079	664.439265	18.367896	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.0	661.813303	654.149955	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	478.003377	517.431716	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	478.327140	516.855514	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	474.881498	513.509906	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	488.537823	525.422050	18.367896	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	952.561906	506.039608	2102.938996	2797.999482	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	502.848769	538.899137	18.367896	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	944.095915	499.207861	2070.001885	2797.999482	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	506.960680	543.162447	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	493.967010	530.268799	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	2353.783809	0.000000	21450.925184	2543.889187	11.000000	0.000000	1	0	0	0	0	0	0	2
