time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	430.626411	2.347599	2180.198989	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	424.858003	0.634427	2141.586329	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	814.839847	456.119092	2213.021217	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	805.626834	446.006048	2213.020673	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	803.512477	450.610632	2142.521882	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	962.164982	552.293238	2143.484354	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	794.134217	440.432372	2142.521882	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	804.768150	450.184360	2141.388748	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	952.548257	541.015337	2142.244426	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	631.503665	0.000000	2139.820009	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	951.237417	538.911051	2142.212557	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	642.491511	0.000000	2140.613534	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	644.107393	0.000000	2140.613256	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	945.664084	531.650524	2142.150296	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	565.217746	0.000000	2146.024024	3919.208741	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	622.790825	449.207101	11.731137	2117.032871	31.000000	0.000000	0	0	0	0	0	0	0	0
1.6	580.157506	0.000000	2145.298763	3943.498903	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	418.772925	0.000000	2105.164446	2362.938564	30.000000	0.000000	1	0	0	0	0	0	0	0
1.8	909.278391	0.000000	2134.333852	7342.517385	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	407.522015	447.309214	23.094808	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	605.037489	0.000000	2139.734662	4374.657985	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	412.806192	451.783132	23.094808	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	411.688781	450.765731	23.094808	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	416.171082	455.464737	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	405.424152	443.817812	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	403.442927	441.936592	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	402.253071	439.846742	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	399.748798	437.442475	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	573.069179	415.438916	14.613094	1957.533612	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	414.548037	451.417353	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	411.995737	447.965058	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	404.089390	440.158716	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	392.839339	429.008642	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	382.223425	417.492740	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
