time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	510.589757	-9.250000	2081.577337	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	532.624332	0.630000	2103.596786	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	966.071355	548.385646	2141.650086	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	952.986586	548.272250	2101.465131	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	953.777608	548.163267	2101.464989	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	953.573043	548.058700	2101.464967	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	954.372884	547.958533	2101.464778	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	955.697583	548.383019	2101.465794	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	664.040923	0.000000	2102.017107	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	952.749641	544.639916	2101.442728	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	951.994451	543.984776	2101.442491	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	684.499018	0.000000	2103.037877	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	951.400978	541.595573	2101.422134	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	691.618983	0.000000	2103.545991	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	950.685113	540.083704	2101.403091	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	698.248672	0.000000	2104.060432	5282.111736	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	657.850163	651.756730	11.926139	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	973.814657	543.440209	24.168194	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	483.142187	513.229646	11.926139	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	717.303261	0.000000	2101.490354	5421.550651	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	673.437886	665.691865	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	496.721163	535.993863	11.926139	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	491.807686	530.320005	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	480.907778	519.520132	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	490.743639	528.248723	11.926139	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	574.534755	0.000000	2103.425043	4077.873039	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	490.086978	527.537093	11.926139	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	478.294538	515.583316	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	456.479016	492.867800	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	442.959563	479.448354	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	2283.016178	0.000000	21160.484236	2120.378506	11.000000	0.000000	1	0	0	1	0	0	0	2
