time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.396882	1.570796	5.942000	0.000000	4.000000
0.600000	-1.750000	194.005813	1.570796	6.236000	2.940000	0.000000
0.700000	-1.750000	194.614679	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750017	195.196460	1.571028	5.781585	0.980000	2.000000
0.900000	-1.750912	195.779538	1.574179	5.879585	0.980000	2.000000
1.000000	-1.754666	196.372392	1.580511	5.977585	0.980000	2.000000
1.100000	-1.762728	196.955329	1.588968	5.683585	-2.940000	3.000000
1.200000	-1.775212	197.508719	1.597598	5.389585	-2.940000	3.000000
1.300000	-1.791331	198.037906	1.604470	5.200540	-1.890451	7.000000
1.400000	-1.809599	198.548145	1.608097	5.011497	-1.890433	7.000000
1.500000	-1.827987	199.039468	1.607626	4.822454	-1.890423	7.000000
1.600000	-1.844908	199.526341	1.602758	4.920454	0.980000	2.000000
1.700000	-1.858159	200.003381	1.593826	4.626454	-2.940000	3.000000
1.800000	-1.865950	200.451060	1.582305	4.332454	-2.940000	3.000000
1.900000	-1.868145	200.869460	1.569681	4.038454	-2.940000	3.000000
2.000000	-1.865218	201.263821	1.557082	3.849713	-1.887414	7.000000
2.100000	-1.857220	201.663412	1.544606	4.143713	2.940000	0.000000
2.200000	-1.844446	202.062874	1.533304	3.849713	-2.940000	3.000000
2.300000	-1.828887	202.432574	1.524617	3.555713	-2.940000	3.000000
2.400000	-1.812070	202.772695	1.518601	3.261713	-2.940000	3.000000
2.500000	-1.795203	203.083537	1.514851	2.967713	-2.940000	3.000000
2.600000	-1.779119	203.364850	1.512705	2.673713	-2.940000	3.000000
2.700000	-1.764311	203.616439	1.511398	2.379713	-2.940000	3.000000
2.800000	-1.750608	203.844602	1.510234	2.199488	-1.802246	7.000000
2.900000	-1.737698	204.054927	1.508699	2.019316	-1.801728	7.000000
3.000000	-1.725528	204.247296	1.506447	1.839178	-1.801380	7.000000
3.100000	-1.703148	204.577733	1.499156	1.478902	-1.801380	7.000000
3.200000	-1.692921	204.714962	1.494170	1.298996	-1.799059	7.000000
3.300000	-1.683403	204.834269	1.488766	1.119581	-1.794146	7.000000
3.400000	-1.674707	204.936588	1.483383	0.940802	-1.787792	7.000000
3.500000	-1.667180	205.019620	1.478397	0.762262	-1.785401	7.000000
3.600000	-1.661240	205.081313	1.473946	0.585654	-1.766078	7.000000
3.700000	-1.657806	205.115015	1.470774	0.418380	-1.672741	7.000000
3.800000	-1.651078	205.181040	1.464555	0.083832	-1.672741	7.000000
3.900000	-1.650189	205.189376	1.464555	0.083832	0.000000	4.000000
4.000000	-1.649300	205.197712	1.464555	0.083832	0.000000	4.000000
4.100000	-1.648411	205.206048	1.464555	0.083832	0.000000	4.000000
4.200000	-1.647522	205.214384	1.464555	0.083832	0.000000	4.000000
4.300000	-1.646633	205.222720	1.464555	0.083832	0.000000	4.000000
4.400000	-1.645744	205.231056	1.464555	0.083832	0.000000	4.000000
4.500000	-1.644855	205.239392	1.464555	0.083832	0.000000	4.000000
4.600000	-1.643966	205.247728	1.464555	0.083832	0.000000	4.000000
4.700000	-1.639133	205.290213	1.458536	0.377832	2.940000	0.000000
4.800000	-1.631798	205.351407	1.449860	0.671832	2.940000	0.000000
4.900000	-1.621005	205.435280	1.437956	0.965832	2.940000	0.000000
5.000000	-1.605200	205.546310	1.422170	1.259832	2.940000	0.000000
5.100000	-1.582578	205.686632	1.402163	1.553832	2.940000	0.000000
5.200000	-1.551710	205.854818	1.378097	1.847832	2.940000	0.000000
5.300000	-1.510758	206.050059	1.350028	2.141832	2.940000	0.000000
5.400000	-1.456786	206.272989	1.317769	2.435832	2.940000	0.000000
5.500000	-1.387305	206.522229	1.281411	2.729832	2.940000	0.000000
5.600000	-1.299542	206.796356	1.241024	3.023832	2.940000	0.000000
5.700000	-1.190076	207.094109	1.196615	3.317832	2.940000	0.000000
5.800000	-1.055415	207.413610	1.148251	3.611832	2.940000	0.000000
5.900000	-0.896697	207.743531	1.097444	3.709832	0.980000	2.000000
6.000000	-0.716609	208.073478	1.045640	3.807832	0.980000	2.000000
6.100000	-0.514448	208.401917	0.992962	3.905832	0.980000	2.000000
6.200000	-0.289644	208.727245	0.939555	4.003832	0.980000	2.000000
6.300000	-0.041705	209.047786	0.885583	4.101832	0.980000	2.000000
6.400000	0.229685	209.361828	0.831231	4.199832	0.980000	2.000000
6.500000	0.524597	209.667673	0.776711	4.297832	0.980000	2.000000
6.600000	0.842929	209.963662	0.722251	4.395832	0.980000	2.000000
6.700000	1.184397	210.248200	0.668097	4.493832	0.980000	2.000000
6.800000	1.548544	210.519796	0.614513	4.591832	0.980000	2.000000
6.900000	1.934755	210.777098	0.561773	4.689832	0.980000	2.000000
7.000000	2.342271	211.018922	0.510162	4.787832	0.980000	2.000000
7.100000	2.770212	211.244283	0.459969	4.885832	0.980000	2.000000
7.200000	3.217609	211.452421	0.411484	4.983832	0.980000	2.000000
7.300000	3.683448	211.642800	0.364995	5.081832	0.980000	2.000000
7.400000	4.166701	211.815123	0.320782	5.179832	0.980000	2.000000
7.500000	4.666292	211.969408	0.279103	5.277832	0.980000	2.000000
