time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.585269	1.570796	7.706000	-2.940000	3.000000
0.300000	-1.750000	192.341103	1.570796	7.412000	-2.940000	3.000000
0.400000	-1.750000	193.067546	1.570796	7.118000	-2.940000	3.000000
0.500000	-1.750000	193.764638	1.570796	6.824000	-2.940000	3.000000
0.600000	-1.750000	194.432262	1.570796	6.530000	-2.940000	3.000000
0.700000	-1.750002	195.070838	1.570839	6.280238	0.980000	2.000000
0.800000	-1.750700	195.703787	1.573647	6.378238	0.980000	2.000000
0.900000	-1.754552	196.346527	1.580465	6.476238	0.980000	2.000000
1.000000	-1.764014	196.999007	1.590504	6.574238	0.980000	2.000000
1.100000	-1.781109	197.661132	1.602938	6.672238	0.980000	2.000000
1.200000	-1.807376	198.332758	1.616921	6.770238	0.980000	2.000000
1.300000	-1.843825	199.013716	1.631577	6.868238	0.980000	2.000000
1.400000	-1.890883	199.703839	1.646015	6.966238	0.980000	2.000000
1.500000	-1.948354	200.403000	1.659312	7.064238	0.980000	2.000000
1.600000	-2.015374	201.111166	1.670537	7.162238	0.980000	2.000000
1.700000	-2.090356	201.828394	1.678779	7.260238	0.980000	2.000000
1.800000	-2.170985	202.554876	1.683154	7.358238	0.980000	2.000000
1.900000	-2.254228	203.290929	1.682836	7.456238	0.980000	2.000000
2.000000	-2.335789	204.032077	1.677040	7.456238	0.000000	4.000000
2.100000	-2.410800	204.773913	1.665095	7.456238	0.000000	4.000000
2.200000	-2.474460	205.516803	1.646396	7.456238	0.000000	4.000000
2.300000	-2.521517	206.260918	1.620380	7.456238	0.000000	4.000000
2.400000	-2.546298	207.006092	1.586528	7.456238	0.000000	4.000000
2.500000	-2.542635	207.756568	1.544086	7.554238	0.980000	2.000000
2.600000	-2.503112	208.515794	1.492247	7.652238	0.980000	2.000000
2.700000	-2.419699	209.281277	1.431146	7.750238	0.980000	2.000000
2.800000	-2.285727	210.044468	1.361954	7.750238	0.000000	4.000000
2.900000	-2.096886	210.795935	1.286633	7.750238	0.000000	4.000000
3.000000	-1.850325	211.530465	1.206867	7.750238	0.000000	4.000000
