time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	432.664016	2.512442	2199.038626	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	426.690304	0.634427	2160.018926	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	818.792907	458.153920	2232.480398	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	809.578796	448.039780	2232.479848	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	807.166381	452.446531	2160.964341	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	965.818625	554.131487	2161.936959	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	797.788121	442.268271	2160.964341	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	808.419202	452.018584	2159.819261	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	956.200102	542.853074	2160.683960	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	633.335820	0.000000	2158.233986	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	954.888624	540.748183	2160.651755	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	644.328060	0.000000	2159.035876	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	645.943281	0.000000	2159.035594	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	636.010975	451.561456	30.877357	2117.032871	32.000000	0.000000	0	0	1	0	0	0	0	0
1.4	390.819011	0.000000	2167.540343	2039.431762	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	632.577740	447.364209	31.229518	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	568.510012	0.000000	2161.963174	3805.532137	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	563.482991	0.000000	2161.960660	3864.728976	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	768.290088	444.624051	32.708433	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	406.679759	447.770919	19.732355	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	584.766146	0.000000	2157.005286	4155.704262	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	586.165767	0.000000	2157.005040	4156.273712	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	408.086153	447.458626	19.732355	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	423.499049	451.072088	19.732355	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	401.363239	439.686923	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	398.813308	437.237001	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	397.835773	435.359475	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	394.658086	432.281796	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	393.261028	429.984746	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	390.384486	427.208213	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	387.120015	424.043749	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	1319.027874	1355.051616	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	374.797264	410.920994	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	364.615117	399.838860	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
