time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.396882	1.570796	5.942000	0.000000	4.000000
0.600000	-1.750000	194.005813	1.570796	6.236000	2.940000	0.000000
0.700000	-1.750000	194.614679	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750017	195.196460	1.571028	5.781585	0.980000	2.000000
0.900000	-1.750912	195.779538	1.574179	5.879585	0.980000	2.000000
1.000000	-1.754666	196.372392	1.580511	5.977585	0.980000	2.000000
1.100000	-1.762728	196.955329	1.588968	5.683585	-2.940000	3.000000
1.200000	-1.775212	197.508719	1.597598	5.389585	-2.940000	3.000000
1.300000	-1.791152	198.032630	1.604415	5.095585	-2.940000	3.000000
1.400000	-1.809365	198.541863	1.608079	5.095585	0.000000	4.000000
1.500000	-1.827874	199.036344	1.607648	4.801585	-2.940000	3.000000
1.600000	-1.844277	199.506760	1.603035	4.614272	-1.873136	7.000000
1.700000	-1.857091	199.958519	1.594817	4.426961	-1.873107	7.000000
1.800000	-1.865206	200.391655	1.583970	4.239654	-1.873065	7.000000
1.900000	-1.868140	200.820560	1.571213	4.337654	0.980000	2.000000
2.000000	-1.865504	201.239474	1.557864	4.043654	-2.940000	3.000000
2.100000	-1.857287	201.658576	1.544763	4.337654	2.940000	0.000000
2.200000	-1.843829	202.077283	1.532942	4.043654	-2.940000	3.000000
2.300000	-1.827249	202.466497	1.523917	3.749654	-2.940000	3.000000
2.400000	-1.809201	202.826015	1.517826	3.455654	-2.940000	3.000000
2.500000	-1.791046	203.156066	1.514201	3.161654	-2.940000	3.000000
2.600000	-1.773672	203.457004	1.512198	2.867654	-2.940000	3.000000
2.700000	-1.757581	203.728150	1.510900	2.573654	-2.940000	3.000000
2.800000	-1.742927	203.969676	1.509465	2.279654	-2.940000	3.000000
2.900000	-1.729670	204.182086	1.507382	1.985654	-2.940000	3.000000
3.000000	-1.717799	204.364893	1.504479	1.691654	-2.940000	3.000000
3.100000	-1.707394	204.517142	1.500899	1.397654	-2.940000	3.000000
3.200000	-1.698572	204.639441	1.497075	1.103654	-2.940000	3.000000
3.300000	-1.691405	204.734040	1.493487	0.809654	-2.940000	3.000000
3.400000	-1.683277	204.836029	1.488946	0.221654	-2.940000	3.000000
3.500000	-1.676002	204.921909	1.484330	0.042438	-2.940000	3.000000
3.600000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
3.700000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
3.800000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
3.900000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.000000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.100000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.200000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.300000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.400000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.500000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.600000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.700000	-1.666461	205.027888	1.477393	0.010000	-2.940000	3.000000
4.800000	-1.662702	205.066549	1.474655	0.304000	2.940000	0.000000
4.900000	-1.657068	205.122710	1.470303	0.598000	2.940000	0.000000
5.000000	-1.649257	205.198766	1.462861	0.892000	2.940000	0.000000
5.100000	-1.637511	205.302361	1.453284	1.186000	2.940000	0.000000
5.200000	-1.620757	205.436075	1.440578	1.480000	2.940000	0.000000
5.300000	-1.598091	205.598303	1.424686	1.774000	2.940000	0.000000
5.400000	-1.568228	205.788324	1.405436	2.068000	2.940000	0.000000
5.500000	-1.529108	206.006779	1.382452	2.362000	2.940000	0.000000
5.600000	-1.478595	206.253062	1.355486	2.656000	2.940000	0.000000
5.700000	-1.416721	206.516514	1.325455	2.754000	0.980000	2.000000
5.800000	-1.344195	206.787351	1.293350	2.852000	0.980000	2.000000
5.900000	-1.259942	207.064980	1.259188	2.950000	0.980000	2.000000
6.000000	-1.162871	207.348715	1.223017	3.048000	0.980000	2.000000
6.100000	-1.051748	207.637813	1.184885	3.146000	0.980000	2.000000
6.200000	-0.925497	207.931360	1.144893	3.244000	0.980000	2.000000
6.300000	-0.783086	208.228340	1.103158	3.342000	0.980000	2.000000
6.400000	-0.623546	208.527637	1.059816	3.440000	0.980000	2.000000
6.500000	-0.445983	208.828045	1.015015	3.538000	0.980000	2.000000
6.600000	-0.249598	209.128268	0.968905	3.636000	0.980000	2.000000
6.700000	-0.033697	209.426939	0.921638	3.734000	0.980000	2.000000
6.800000	0.202298	209.722618	0.873353	3.832000	0.980000	2.000000
6.900000	0.458849	210.013812	0.824175	3.930000	0.980000	2.000000
7.000000	0.736291	210.298975	0.774203	4.028000	0.980000	2.000000
7.100000	1.034939	210.576472	0.723507	4.126000	0.980000	2.000000
7.200000	1.354904	210.844645	0.672127	4.224000	0.980000	2.000000
7.300000	1.696157	211.101798	0.620066	4.322000	0.980000	2.000000
7.400000	2.058550	211.346188	0.567293	4.420000	0.980000	2.000000
7.500000	2.441820	211.576017	0.513764	4.518000	0.980000	2.000000
7.600000	2.845576	211.789436	0.459440	4.616000	0.980000	2.000000
7.700000	3.269285	211.984565	0.404337	4.714000	0.980000	2.000000
