time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	507.812947	-9.250000	2053.669625	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	423.136145	2.335402	2111.629896	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	957.803734	551.169489	2134.604018	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	958.569299	551.035038	2134.603736	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	950.321333	547.828356	2080.751974	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	941.053977	537.661004	2080.751954	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	793.429120	445.233160	2075.613516	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	950.577764	546.413739	2076.393428	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	658.707413	0.000000	2075.879063	4937.887799	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	947.137420	542.177448	2076.376082	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	947.916767	542.056833	2076.375916	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	577.879463	0.000000	2079.600066	4118.858957	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	946.491923	539.838374	2076.348591	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	680.084004	0.000000	2076.923101	5125.560314	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	679.076141	0.000000	2076.923250	5122.499945	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	943.821037	535.475494	2076.314334	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	450.859283	0.000000	2085.420898	2804.383970	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	939.156662	530.018840	2076.281303	2449.848484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	462.676145	504.972361	17.889424	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	460.602559	500.988132	17.889424	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	642.560559	635.038458	17.889424	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.1	453.260622	492.841798	17.889424	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	617.603141	0.000000	2078.885269	4547.433168	36.000000	0.000000	1	0	1	0	0	0	0	0
2.3	457.988764	496.760875	17.889424	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	457.746228	495.618363	17.889424	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	910.023626	0.000000	2076.437068	7465.880738	35.000000	0.000000	1	0	1	0	0	0	0	0
2.6	457.663351	494.727619	17.889424	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	468.346756	505.240465	17.889424	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	453.581945	490.575659	17.889424	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.9	442.347982	478.441708	17.889424	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	430.060369	466.254111	17.889424	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	413.962828	449.256580	17.889424	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
