time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	516.674657	0.634427	3065.244503	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	997.768305	548.138733	3135.230845	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	988.552882	538.023277	3135.230321	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	986.365161	542.415020	3066.146434	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-10.074968	2.021710	0.855384	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	987.824095	542.092245	3065.131545	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	977.632757	532.000903	3065.131456	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1134.822720	632.426062	3065.953892	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	724.056538	0.000000	3063.658569	4605.776895	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.083448	0.000000	2.532794	27.783263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.223104	0.000000	2.527474	26.883263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	-17.352933	0.000000	2.163601	26.278184	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	974.144830	0.000000	10002.491678	25.233263	12.000000	0.000000	0	0	0	0	0	1	0	1
1.4	-16.713377	0.000000	2.491540	23.883263	12.000000	0.000000	0	0	0	0	0	1	0	0
1.5	964.276061	0.000000	10002.491146	21.928184	11.000000	0.000000	0	0	0	0	0	1	0	1
1.6	27616.853010	27162.195592	3111.045340	1874.833062	31.000000	0.000000	1	0	1	0	1	0	0	0
1.7	-6.739303	0.000000	2.510747	17.583263	11.000000	0.000000	0	0	0	0	0	0	0	0
1.8	947.262324	0.000000	10002.509993	15.783263	10.000000	0.000000	0	0	0	0	0	0	0	1
1.9	-16.209873	0.000000	2.440237	13.983263	10.000000	0.000000	0	0	0	0	0	0	0	0
2.0	1910.640004	0.000000	20002.159974	12.183263	9.000000	0.000000	0	0	0	0	0	1	0	2
2.1	29891.475640	29428.007617	3052.761491	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	-6.225358	0.000000	2.000023	9.035234	9.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.509947	0.000000	1.407010	7.235747	8.000000	0.000000	0	0	0	0	0	0	0	0
2.4	-15.753072	0.000000	0.907269	5.886087	8.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-15.957060	0.000000	0.539069	4.416451	8.000000	0.000000	0	0	0	0	0	0	0	0
4.8	1119.658968	1157.451605	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.9	251.892209	289.786503	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.0	251.853895	289.849002	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.1	251.489248	289.584643	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.2	251.274008	289.469428	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.3	252.542030	290.837556	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.4	297.408756	335.727056	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.5	298.272793	335.691090	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.6	297.933547	335.451883	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.7	296.895881	334.514267	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.8	296.903459	334.621872	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.9	296.634420	334.452847	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
6.0	298.442673	335.361132	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.1	297.096559	334.115045	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.2	296.943409	334.061899	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.3	298.898775	335.117286	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.4	297.649381	333.967916	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.5	297.486535	333.905083	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.6	297.892823	333.411383	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.7	298.358588	333.977169	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.8	297.396770	332.115367	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.9	296.441646	331.260248	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.0	296.815295	331.733912	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.1	295.204798	329.223431	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
