time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	591.858836	3.474002	3790.835305	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	584.499958	0.634427	3747.554211	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-23.094558	0.000000	0.156743	20.654745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-12.557922	0.423248	1.042937	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.760311	-9.679141	1.042937	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-21.931102	-9.781564	1.362785	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.133692	-9.884154	1.362785	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	874.574431	0.000000	3778.619500	5313.793922	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	865.574550	0.000000	3778.616113	5312.548892	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	790.054843	607.552034	33.725137	2117.032871	34.000000	0.000000	0	0	1	0	0	0	0	0
1.0	842.358371	0.000000	3774.725930	4980.737711	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	662.310900	0.000000	3725.368609	3214.566193	33.000000	0.000000	1	0	0	0	0	0	0	0
1.2	654.107911	0.000000	3725.368481	3226.753156	32.000000	0.000000	1	0	0	0	0	0	0	0
1.3	655.708015	0.000000	3725.366680	3216.417203	31.000000	0.000000	1	0	0	0	0	0	0	0
1.4	655.133268	0.000000	3725.366495	3214.451587	31.000000	0.000000	1	0	0	0	0	0	0	0
1.5	806.100114	0.000000	3721.321094	4738.577387	30.000000	0.000000	1	0	0	0	0	0	0	0
1.6	851.964845	845.215754	18.136844	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	1127.744346	696.332306	34.607746	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	670.282984	710.692247	18.136844	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	677.784852	706.355741	18.136844	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.0	668.239104	695.910030	18.136844	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.1	654.393718	693.692198	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	654.273301	692.671814	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	653.149540	691.648085	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	650.798567	688.397144	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.5	648.394581	686.093188	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.6	648.080454	684.879091	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.7	641.167437	678.066102	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	629.905960	665.904652	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	619.912153	656.010873	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	605.556182	641.754928	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
