time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.184535	-9.250000	2057.404192	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	531.616631	0.630000	2093.469120	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	963.360426	547.377943	2124.337618	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	950.925828	547.264542	2090.761395	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	951.716842	547.155553	2090.761214	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	951.512275	547.050986	2090.761186	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	952.312106	546.950813	2090.760946	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	953.636178	547.374646	2090.762237	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	662.990327	0.000000	2091.462540	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	950.691479	543.635398	2090.732937	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	949.938369	542.982345	2090.732637	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	683.476036	0.000000	2092.759168	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	949.345639	540.594427	2090.706778	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	690.607857	0.000000	2093.404597	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	948.631493	539.084783	2090.682589	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	697.253891	0.000000	2094.058064	5282.111736	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	658.093218	650.890195	23.243949	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	972.694280	540.869755	38.794361	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	677.625724	669.570124	23.243949	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	717.832360	0.000000	2091.642692	5534.286557	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	671.589797	662.725095	23.243949	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	491.078284	529.307472	23.243949	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	667.557996	0.000000	2054.677045	4952.290248	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	506.694818	544.893954	23.243949	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	496.990859	534.989079	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.5	596.016699	0.000000	2061.006288	4319.862428	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	485.475613	522.665170	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.7	439.633221	0.000000	2047.330724	2498.520158	13.000000	0.000000	1	0	0	0	0	0	0	0
2.8	922.905659	480.338846	2037.254412	2797.999482	32.000000	0.000000	1	0	0	0	0	0	0	0
2.9	479.416016	515.704032	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	467.224585	502.612626	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
