time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	425.849473	2.515513	2130.454719	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	419.970415	0.634427	2092.418115	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	804.897860	451.332327	2160.724910	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	795.683732	441.218168	2160.724374	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	793.771558	445.717952	2093.339711	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	952.426772	547.395054	2094.287823	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	784.393298	435.539692	2093.339711	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	795.031268	445.294050	2092.223481	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	942.812576	536.117862	2093.066394	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	626.614144	0.000000	2090.678147	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	941.503799	534.015592	2093.035000	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	637.591308	0.000000	2091.459833	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	639.208956	0.000000	2091.459559	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	935.931830	526.756340	2092.973668	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	560.320650	0.000000	2096.789604	3919.208741	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	567.879756	0.000000	2055.902704	3904.732485	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	573.614811	0.000000	2095.922732	3933.153567	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	412.042667	0.000000	2060.128961	2330.573184	30.000000	0.000000	1	0	0	0	0	0	0	0
1.8	960.391241	519.863512	2083.352941	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	409.629913	449.795591	19.109436	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	607.170224	599.422722	19.109436	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.1	413.286717	452.648055	19.109436	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	412.300250	451.761599	19.109436	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	415.922499	455.206250	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	406.812891	445.196647	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	404.856400	443.340163	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	403.693930	441.277697	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	401.165478	438.849251	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	399.440132	436.223910	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	396.242841	433.126625	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	393.624059	429.607847	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	385.753516	421.837309	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	374.455876	410.639656	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	363.767817	399.051609	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
