time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	507.338026	-9.250000	2048.896540	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	530.190376	0.630000	2079.134862	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	959.858709	545.951688	2103.241550	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	948.089998	545.838287	2076.433741	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	948.881012	545.729299	2076.433561	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	948.676445	545.624731	2076.433533	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	949.476275	545.524558	2076.433294	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	950.798828	545.946871	2076.434581	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	661.563990	0.000000	2077.133176	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	947.854539	542.208028	2076.405353	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	947.104436	541.557980	2076.405053	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	682.049600	0.000000	2078.426642	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	946.509830	539.168181	2076.379257	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	689.178706	0.000000	2079.070497	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	945.795879	537.658726	2076.355127	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	695.828141	0.000000	2079.722370	5282.111736	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	656.095603	649.460750	17.448612	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	971.271507	540.025307	32.961099	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	480.483812	510.029853	17.448612	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	714.808506	0.000000	2076.465702	5421.550651	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	670.175261	662.429241	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	480.684174	520.029357	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	646.981156	0.000000	2043.275320	4860.645024	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	483.026353	521.557270	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	496.015691	532.933986	17.448612	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	483.194476	520.212794	17.448612	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	480.313628	516.431969	17.448612	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	473.138171	509.356534	17.448612	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	459.930707	495.249088	17.448612	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
2.9	446.812813	482.231209	17.448612	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	432.959428	468.477831	17.448612	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
