time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.396882	1.570796	5.942000	0.000000	4.000000
0.600000	-1.750000	193.991082	1.570796	5.942000	0.000000	4.000000
0.700000	-1.750000	194.585282	1.570796	5.942000	0.000000	4.000000
0.800000	-1.750013	195.166459	1.570975	5.761512	0.980000	2.000000
0.900000	-1.750816	195.747531	1.573930	5.859512	0.980000	2.000000
1.000000	-1.754357	196.338382	1.580086	5.957512	0.980000	2.000000
1.100000	-1.762450	196.938978	1.588790	6.055512	0.980000	2.000000
1.200000	-1.776603	197.549274	1.599370	6.153512	0.980000	2.000000
1.300000	-1.797951	198.169174	1.611125	6.251512	0.980000	2.000000
1.400000	-1.827220	198.798566	1.623324	6.349512	0.980000	2.000000
1.500000	-1.864687	199.437343	1.635237	6.447512	0.980000	2.000000
1.600000	-1.909784	200.080512	1.646045	6.447512	0.000000	4.000000
1.700000	-1.961670	200.728114	1.655024	6.545512	0.980000	2.000000
1.800000	-2.019000	201.380149	1.661448	6.545512	0.000000	4.000000
1.900000	-2.079933	202.036805	1.664583	6.643512	0.980000	2.000000
2.000000	-2.142556	202.703143	1.663714	6.741512	0.980000	2.000000
2.100000	-2.203932	203.379432	1.658084	6.839512	0.980000	2.000000
2.200000	-2.260478	204.065964	1.646964	6.937512	0.980000	2.000000
2.300000	-2.307966	204.762992	1.629652	7.035512	0.980000	2.000000
2.400000	-2.341294	205.465735	1.605620	7.035512	0.000000	4.000000
2.500000	-2.355274	206.169118	1.574560	7.035512	0.000000	4.000000
2.600000	-2.344828	206.872546	1.536139	7.035512	0.000000	4.000000
2.700000	-2.304711	207.574888	1.490118	7.035512	0.000000	4.000000
2.800000	-2.229628	208.274332	1.436371	7.035512	0.000000	4.000000
2.900000	-2.114402	208.968266	1.374939	7.035512	0.000000	4.000000
3.000000	-1.954300	209.653210	1.306363	7.035512	0.000000	4.000000
3.100000	-1.745486	210.324880	1.231485	7.035512	0.000000	4.000000
3.200000	-1.485156	210.978281	1.151007	7.035512	0.000000	4.000000
3.300000	-1.171545	211.607818	1.065519	7.035512	0.000000	4.000000
