time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	1073.765331	2.085274	10996.326945	15.404745	20.000000	0.000000	0	0	0	1	0	0	0	1
0.1	1331.275365	-8.046568	13243.475759	481.806408	20.000000	0.000000	1	0	0	1	0	0	0	1
0.2	2149.403441	-8.198677	21968.763850	15.404745	19.000000	0.000000	0	0	0	1	0	0	0	2
0.3	247.992615	-8.337245	2268.747652	481.806408	18.000000	0.000000	1	0	0	1	0	0	0	0
0.4	19279.026432	265.549829	188818.141848	3605.040240	27.000000	0.000000	1	0	0	1	0	0	0	17
0.5	2151.552679	-8.810391	21968.616114	15.404745	16.000000	0.000000	0	0	0	1	0	0	0	2
0.6	9637551.157704	0.000000	97529110.824498	196.599984	15.000000	0.000000	1	0	0	1	0	0	1	3
0.7	100535.663396	251.228879	1000825.162678	10454.499477	34.000000	0.000000	1	0	1	0	0	0	0	91
0.8	73322.064986	240.890046	726489.887114	10454.499477	33.000000	0.000000	1	0	0	1	0	0	0	66
1.0	56965.316667	236.002274	561897.147908	8353.092011	31.000000	0.000000	1	0	1	0	0	0	0	51
1.1	46039.802836	232.607538	452172.778721	8353.092011	30.000000	0.000000	1	0	1	0	0	0	0	41
1.2	46004.444881	240.671957	441201.460848	18975.901489	29.000000	0.000000	1	0	0	1	0	0	0	40
1.3	50590.093235	50432.135609	0.000000	2075.700691	38.000000	0.000000	0	0	0	0	0	0	0	0
1.4	57118.631151	56959.773526	0.000000	2075.700691	37.000000	0.000000	0	0	0	0	0	0	0	0
1.5	58039.073279	57879.315653	0.000000	2075.700691	36.000000	0.000000	0	0	0	0	0	0	0	0
1.7	45326.724009	45112.230636	0.000000	2595.900521	32.000000	0.000000	0	0	0	0	0	0	0	0
1.8	42837.037917	0.000000	430225.825132	2684.440023	21.000000	0.000000	1	0	0	1	0	0	0	39
1.9	54695.925770	0.000000	550914.721754	2646.315228	20.000000	0.000000	1	0	0	1	0	0	0	50
2.0	42850.461595	0.000000	430209.411343	2605.056022	19.000000	0.000000	1	0	0	1	0	0	0	39
