time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	524.723134	-9.250000	2223.621674	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	548.292710	0.630000	2261.068308	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	996.651016	564.054021	2293.216094	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	984.085359	563.940620	2258.307731	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	984.876373	563.831631	2258.307547	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	987.699860	566.532752	2263.657124	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	995.945985	573.987939	2261.283835	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	986.476933	563.618653	2261.285118	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	986.493256	563.735043	2261.284751	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	5063.450002	4639.791844	2261.284443	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	988.234659	563.676547	2261.284194	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	987.843787	563.385716	2261.283970	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	988.158804	562.800776	2261.283734	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	988.266612	562.008628	2261.283489	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	653.655179	0.000000	2222.997324	4600.563547	30.000000	0.000000	1	0	0	0	0	0	0	0
1.5	659.229749	0.000000	2271.398222	4626.447889	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	699.387189	681.263116	24.375403	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	908.917120	735.848687	24.375403	2075.700691	38.000000	0.000000	0	0	1	0	0	0	0	0
1.8	694.103989	686.063225	24.375403	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	687.562737	679.951825	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.0	692.539000	682.664109	24.375403	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.1	504.028284	543.668810	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	987.346302	530.742259	2203.274631	2797.999482	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	527.353578	563.677777	24.375403	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.4	1533.534451	0.000000	12444.631014	3166.268237	14.000000	0.000000	1	0	0	0	0	1	0	1
2.5	552.307786	588.484928	24.375403	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.6	530.604419	567.773527	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.7	495.034885	0.000000	2210.305333	2889.932106	12.000000	0.000000	1	0	0	0	0	0	0	0
2.8	540.633596	575.209066	24.375403	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
2.9	518.614868	553.290359	24.375403	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
