time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	442.897642	2.520861	2301.902272	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	436.915574	0.634427	2262.883215	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	839.065366	468.387253	2334.320680	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	829.851200	458.273056	2334.320130	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	827.531715	462.671796	2263.828614	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	986.173527	564.366452	2264.801216	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	818.153455	452.493536	2263.828614	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	828.784540	462.243851	2262.683554	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	976.555077	553.088110	2263.548238	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	643.570621	0.000000	2261.098304	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	975.238428	550.978049	2263.516034	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	654.582750	0.000000	2261.900181	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	656.194276	0.000000	2261.899900	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	969.660183	543.712675	2263.453117	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	577.287172	0.000000	2267.367616	3919.208741	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	584.758072	0.000000	2225.295303	3904.732485	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	590.583539	0.000000	2266.478353	3933.153567	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	428.928392	0.000000	2229.630722	2330.573184	30.000000	0.000000	1	0	0	0	0	0	0	0
1.8	994.221377	536.789299	2253.583895	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	426.697122	466.801730	19.732355	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	624.204972	616.396400	19.732355	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.1	430.351218	469.651485	19.732355	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	429.369875	468.770153	19.732355	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	432.761521	472.045271	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	423.710720	462.094476	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	421.749983	460.233745	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	420.583025	458.166793	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	418.049826	455.733599	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	416.319447	453.103226	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	413.116813	450.000597	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	410.492346	446.476135	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	402.615745	438.699538	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	391.311733	427.495514	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	380.616714	415.900505	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
