time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	516.216099	-9.250000	2138.123620	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	539.551953	0.630000	2173.221296	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	979.171855	555.313265	2204.394431	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	966.716171	555.199865	2170.603869	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	967.507186	555.090878	2170.603695	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	967.302620	554.986311	2170.603668	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	968.102452	554.886139	2170.603436	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	969.434882	555.318332	2170.604684	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	670.935477	0.000000	2171.281632	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	966.487251	551.576058	2170.576361	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	965.717424	550.906286	2170.576070	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	691.415680	0.000000	2172.535020	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	965.134679	548.528268	2170.551074	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	698.559595	0.000000	2173.158925	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	964.419100	547.017112	2170.527691	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	964.713926	546.411961	2170.527571	2449.848484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	671.401717	664.242245	22.704258	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	758.543690	0.000000	2172.429628	5887.271023	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	488.798562	528.835323	22.704258	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	719.306036	0.000000	2172.583290	5478.949510	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	497.759938	536.982627	22.704258	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	495.490111	533.812826	22.704258	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	983.511748	535.230469	2119.217623	2797.999482	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	520.749892	558.214739	22.704258	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	510.339326	546.904189	22.704258	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	506.903787	543.568660	22.704258	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	502.808916	538.573790	22.704258	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	447.442730	0.000000	2130.954126	2507.415784	13.000000	0.000000	1	0	0	0	0	0	0	0
2.8	471.578727	507.117435	22.704258	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
2.9	447.746867	483.385575	22.704258	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	4167.956937	4202.695659	22.704258	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
