time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.799444	-9.250000	2063.584192	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	531.246632	0.630000	2089.750523	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	962.596137	547.007944	2120.329852	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	950.198502	546.894544	2087.129325	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	950.989517	546.785556	2087.129151	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	950.784950	546.680989	2087.129123	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	951.584782	546.580817	2087.128891	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	952.908395	547.004194	2087.130141	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	662.626563	0.000000	2087.808065	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	949.963371	543.264530	2087.101778	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	949.211048	542.612261	2087.101486	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	683.108203	0.000000	2089.063258	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	948.617529	540.223474	2087.076454	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	690.237308	0.000000	2089.688062	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	947.903203	538.713573	2087.053037	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	948.199956	538.110350	2087.052917	2449.848484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	662.208820	655.926721	13.755055	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	750.226676	0.000000	2088.957715	5887.271023	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	479.609516	520.523650	13.755055	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	710.992651	0.000000	2089.111598	5478.949510	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	488.580955	528.681017	13.755055	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	486.300627	525.500714	13.755055	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.2	968.728921	527.852295	2044.650951	2797.999482	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	511.578915	549.921135	13.755055	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	501.163545	538.605781	13.755055	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	497.726117	535.268362	13.755055	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	493.632553	530.274800	13.755055	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	440.091687	0.000000	2056.404367	2507.415784	13.000000	0.000000	1	0	0	0	0	0	0	0
2.8	462.407339	498.823419	13.755055	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
2.9	438.577060	475.093141	13.755055	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.0	3337.845699	3373.461795	13.755055	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
