time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	559.995705	2.347625	3481.629369	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	554.428207	0.634427	3445.038083	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.504612	0.525460	0.973207	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.711382	-9.581310	0.973207	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.918152	-9.688080	0.973207	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.097196	-9.794850	1.253558	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.331692	-9.901620	0.973207	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.515098	0.000000	0.972319	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.700347	0.000000	0.971965	14.583276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-19.882009	0.000000	0.941741	13.533276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.076735	0.000000	0.722126	12.633276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.1	751.246047	0.000000	3456.692646	4367.178930	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	843.653783	0.000000	3454.302685	5395.976818	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	749.422046	0.000000	3457.178852	4459.764221	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	736.252020	550.901702	32.121777	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.5	726.624359	540.374067	32.121777	2117.032871	30.000000	0.000000	0	0	1	0	0	0	0	0
1.6	732.847557	0.000000	3453.440742	4182.289555	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	987.015177	825.608208	21.799103	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	985.901602	824.594642	21.799103	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	582.681674	622.514226	21.799103	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	1057.893537	624.450693	33.925438	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	607.146601	646.117329	21.799103	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	598.420037	636.490793	21.799103	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	546.721642	0.000000	3396.452062	2234.261777	16.000000	0.000000	1	0	0	0	0	1	0	0
2.4	594.114099	631.309956	21.799103	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	584.824482	621.120363	21.799103	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	583.145861	619.541760	21.799103	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	579.931256	615.427164	21.799103	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	542.590969	0.000000	3398.331638	2207.634175	13.000000	0.000000	1	0	0	0	0	0	0	0
2.9	612.077339	0.000000	3415.935571	3012.667394	33.000000	0.000000	1	0	0	0	0	0	0	0
3.0	600.317634	0.000000	3415.933745	2981.701448	32.000000	0.000000	1	0	0	0	0	0	0	0
3.1	559.511174	595.363770	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	547.111162	582.063783	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.3	536.076675	571.129321	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
