time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	527.926561	2.545545	3157.028805	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	522.264012	0.634427	3121.472359	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-23.097333	0.000000	0.128768	20.654745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-12.576750	0.422828	0.856798	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	997.355150	547.906620	3121.808824	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-11.842046	0.220107	0.772307	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.015278	-9.878132	1.025171	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-21.213909	-9.976763	1.025171	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.8	729.547345	0.000000	3140.844730	4490.167236	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	-9.742427	0.000000	0.900450	13.983276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.923166	0.000000	0.758649	13.083276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	549.917619	0.000000	3135.869989	2680.559395	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	716.406764	0.000000	3133.327239	4460.392983	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	699.918617	515.932977	25.974075	2117.032871	32.000000	0.000000	0	0	1	0	0	0	0	0
1.4	551.476299	0.000000	3134.945097	2680.399464	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	701.621913	516.873095	26.285978	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	696.922249	0.000000	3129.495558	4134.271238	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	720.471333	713.597642	16.384434	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	842.684550	519.449913	28.006016	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	536.790741	577.102445	16.384434	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	795.105059	0.000000	3121.396709	5298.852660	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	537.399808	576.894730	16.384434	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	718.215911	708.812076	16.384434	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	558.531099	586.242716	16.384434	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	549.011751	575.823400	16.384434	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	546.616010	573.527689	16.384434	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.6	658.721310	0.000000	3092.367558	3909.055906	34.000000	0.000000	1	0	0	0	0	0	0	0
2.7	539.172802	576.578484	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	934.459369	556.491740	12.377874	4179.349692	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	567.872124	604.413450	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	566.753052	602.394407	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	563.086286	598.827667	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	558.075042	593.916449	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	545.697215	580.638647	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
