time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	511.759210	-9.250000	2093.330660	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	534.715232	0.630000	2124.610910	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	975.124935	559.201116	2123.505534	2449.848484	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	967.617401	560.782971	2125.226252	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	982.404993	561.448779	2154.927261	2449.848484	37.000000	0.000000	1	0	1	0	1	0	0	0
0.5	967.802648	560.264761	2122.813756	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	958.601009	550.163121	2122.813561	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	1977.824649	1568.486525	2122.814861	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	958.916242	549.678189	2122.814472	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	960.224451	550.086461	2122.814120	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	961.555557	550.517624	2122.813805	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	959.945946	549.008063	2122.813530	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	960.757809	548.919968	2122.813299	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	706.738705	0.000000	2126.961658	5352.542210	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	959.646442	547.012218	2122.793346	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	638.468643	0.000000	2133.780931	4654.100420	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	895.223559	734.585296	17.827848	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	689.645393	671.180084	17.827848	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.8	492.442531	533.004230	17.827848	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	487.921830	528.240848	0.000000	15.297885	37.000000	0.000000	0	0	0	0	0	0	0	0
2.0	669.524095	0.000000	2124.545074	4911.742372	36.000000	0.000000	1	0	1	0	0	0	0	0
2.1	492.267278	531.835586	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	963.684443	520.044223	2071.965258	2797.999482	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	511.986257	549.910027	17.827848	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	507.363729	545.252337	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.5	511.260199	549.108265	17.827848	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	495.436252	532.384327	17.827848	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	483.234406	0.000000	2084.697871	2886.899752	13.000000	0.000000	1	0	0	0	0	0	0	0
2.8	509.917210	546.316381	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	454.437750	0.000000	2087.367930	2609.724146	12.000000	0.000000	1	0	0	0	0	0	0	0
