time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	512.414504	-7.443068	3102.468698	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.363627	0.527667	0.897005	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.565987	-9.574693	0.897005	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	986.231698	542.320421	3065.519313	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-31.459970	-9.777197	0.613327	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	977.835784	532.124485	3065.518880	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	988.740793	543.136537	3064.891147	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	976.279958	0.000000	10001.714796	26.883276	15.000000	0.000000	0	0	0	0	0	1	0	1
0.9	1074.704152	572.594385	3063.670808	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.190978	0.000000	1.923593	26.133276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	23664.092653	23204.865554	3068.130076	1874.833062	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	-7.639561	0.000000	1.480012	24.483276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	966.052944	0.000000	10001.916721	23.433276	12.000000	0.000000	0	0	0	0	0	1	0	1
1.4	-16.933174	0.000000	1.916626	22.683276	12.000000	0.000000	0	0	0	0	0	1	0	0
1.5	-16.221491	0.000000	1.915992	20.733276	11.000000	0.000000	0	0	0	0	0	1	0	0
1.6	-16.532628	0.000000	1.913987	18.483276	11.000000	0.000000	0	0	0	0	0	1	0	0
1.7	-16.827299	0.000000	1.914012	16.683276	11.000000	0.000000	0	0	0	0	0	1	0	0
1.8	959.501326	0.000000	10001.912752	14.728197	10.000000	0.000000	0	0	0	0	0	0	0	1
1.9	-16.381923	0.000000	1.884967	12.928197	10.000000	0.000000	0	0	0	0	0	0	0	0
2.0	961.121551	507.076446	3066.651918	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	950.627640	496.682557	3066.651775	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	-3.782295	0.000000	21.901108	7.235916	8.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-14.045659	0.000000	21.169427	5.435807	8.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-14.163674	0.000000	20.654104	3.967069	8.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-14.225042	0.000000	20.347748	3.630526	8.000000	0.000000	0	0	0	1	0	0	0	0
4.7	1064.901346	1102.697111	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.8	251.744195	289.641618	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.9	251.676454	289.674691	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.0	251.572565	289.671091	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
