time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	532.714157	2.347625	3207.182147	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	527.244249	0.634427	3171.572608	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.507194	0.525460	0.947096	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.713964	-9.581310	0.947096	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.920734	-9.688080	0.947096	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.100522	-9.794850	1.219925	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.334274	-9.901620	0.947096	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.517664	0.000000	0.946231	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.702910	0.000000	0.945887	14.583276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-19.884499	0.000000	0.916474	13.533276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.078634	0.000000	0.702752	12.633276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.1	723.954612	0.000000	3182.914478	4367.178930	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	816.396674	0.000000	3180.588640	5395.976818	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	722.195504	0.000000	3183.387639	4459.764221	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	709.091964	523.641345	33.140524	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.5	699.496842	513.146249	33.140524	2117.032871	30.000000	0.000000	0	0	1	0	0	0	0	0
1.6	705.643280	0.000000	3179.749823	4182.289555	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	959.917041	798.383043	23.094808	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	958.838087	797.404097	23.094808	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	555.574413	595.279935	23.094808	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	1030.765904	597.226856	34.895793	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	580.019102	618.862799	23.094808	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	571.262142	609.205868	23.094808	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	519.563856	0.000000	3122.409575	2234.261777	16.000000	0.000000	1	0	0	0	0	1	0	0
2.4	567.021884	604.090711	23.094808	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	557.705466	593.874317	23.094808	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	556.009196	592.278065	23.094808	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	552.898642	588.267520	23.094808	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.8	515.602378	0.000000	3124.238723	2207.634175	13.000000	0.000000	1	0	0	0	0	0	0	0
2.9	584.733921	0.000000	3141.370341	3012.667394	33.000000	0.000000	1	0	0	0	0	0	0	0
3.0	572.956010	0.000000	3141.368564	2981.701448	32.000000	0.000000	1	0	0	0	0	0	0	0
3.1	532.186602	568.039198	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	519.889885	554.842507	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.3	508.830576	543.883222	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
