time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	447.312078	1.732252	2354.243921	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	441.798970	0.634427	2312.009248	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	849.338760	472.851447	2393.251162	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	840.129827	462.742488	2393.250567	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	837.293920	467.583615	2313.032559	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	995.943456	569.287740	2314.085315	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	827.915660	457.405355	2313.032559	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	838.524211	467.142439	2311.793133	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	986.310735	558.005286	2312.729077	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	648.443931	0.000000	2310.077241	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	984.993898	555.895297	2312.694218	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	659.472119	0.000000	2310.945202	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	661.081881	0.000000	2310.944897	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	651.012686	466.985197	26.590834	2117.032871	32.000000	0.000000	0	0	1	0	0	0	0	0
1.4	406.015043	0.000000	2320.150382	2039.431762	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	647.597818	462.803460	26.972012	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	583.673090	0.000000	2314.113690	3805.532137	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	578.625189	0.000000	2314.110969	3864.728976	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	783.360089	460.104476	28.572780	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	421.374391	462.975825	14.527556	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	599.869001	0.000000	2308.747304	4155.704262	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	601.279267	0.000000	2308.747037	4156.273712	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	422.782996	462.665743	14.527556	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	438.518982	466.602296	14.527556	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	416.894115	455.217800	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	414.344891	452.768585	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	413.368104	450.891806	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	410.191208	447.814919	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	408.794990	445.518709	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	405.919344	442.743071	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	402.655829	439.579563	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	1415.464555	1451.488296	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	390.335282	426.459012	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	380.154273	415.378016	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
