time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	511.759210	-9.250000	2093.330660	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	534.715232	0.630000	2124.610910	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	969.711342	550.476543	2157.395840	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	957.075082	550.363141	2121.769832	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	957.866094	550.254151	2121.769643	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	960.146266	552.396609	2127.275219	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	968.954859	560.421073	2124.832722	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	959.500094	550.066070	2124.834042	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	959.506465	550.172509	2124.833665	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	5029.168581	4618.934682	2124.833348	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	961.241601	550.107748	2124.833092	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.1	960.855170	549.821359	2124.832862	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	961.180278	549.246510	2124.832619	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	961.304315	548.470593	2124.832367	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	640.683307	0.000000	2092.688103	4600.563547	30.000000	0.000000	1	0	0	0	0	0	0	0
1.5	645.693888	0.000000	2135.242057	4626.447889	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	685.772578	668.290423	17.827848	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	895.296447	722.869931	17.827848	2075.700691	38.000000	0.000000	0	0	1	0	0	0	0	0
1.8	679.920491	672.521644	17.827848	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	674.596662	666.985750	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.0	678.362563	669.129590	17.827848	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.1	491.096969	530.737495	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	961.457803	517.850896	2072.390274	2797.999482	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	513.197215	550.163331	17.827848	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.4	1518.784939	0.000000	12295.464753	3166.268237	14.000000	0.000000	1	0	0	0	0	1	0	1
2.5	538.254774	575.073833	17.827848	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.6	517.342201	554.261275	17.827848	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	1491.705965	0.000000	12318.674773	2891.438723	12.000000	0.000000	1	0	0	1	0	0	0	1
2.8	519.424429	555.585184	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	497.628563	533.889348	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
