time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	429.290013	3.220459	2157.974277	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	419.026255	-6.943344	2157.973434	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	763.756477	567.963483	2171.578911	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	811.442871	454.642961	2184.151122	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	763.240243	567.001953	2168.275189	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	811.863783	242.600777	2110.037215	3951.800330	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	789.765292	438.273590	2120.534378	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	801.974763	449.620892	2118.222373	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	948.075360	538.764847	2119.096501	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	629.066331	0.000000	2116.433282	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	945.665441	535.561419	2119.064904	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	641.264643	0.000000	2117.205018	4725.358047	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	546.053754	0.000000	2121.132706	3758.080125	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	940.267992	528.479256	2118.990512	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	383.040174	0.000000	2126.860318	2107.151485	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	630.080959	444.553399	34.134690	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	390.422017	0.000000	2080.383349	2202.244237	31.000000	0.000000	1	0	0	0	0	0	0	0
1.7	403.573126	0.000000	2125.441004	2195.617222	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	604.305832	0.000000	2115.870517	4392.627956	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	389.825861	430.607684	22.732900	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	578.804227	0.000000	2116.068357	4124.831578	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	578.508827	0.000000	2116.067429	4123.944411	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	402.342706	441.406086	22.732900	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	419.190519	446.444350	22.732900	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	395.711418	435.008201	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	392.413148	430.809943	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	391.580549	429.077354	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	389.341883	426.938699	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	389.107353	425.804179	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	386.320079	423.116915	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	383.313960	420.210805	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	2538.196912	0.000000	23819.757875	2042.410504	12.000000	0.000000	1	0	0	0	0	0	0	2
3.2	411.912380	447.772002	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	392.735703	427.695328	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	381.120432	416.180085	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
