time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	516.674657	0.634427	3065.244503	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	997.768305	548.138733	3135.230845	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	988.552882	538.023277	3135.230321	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	986.365161	542.415020	3066.146434	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-21.479745	-9.759532	0.644628	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	976.986901	532.236760	3066.146434	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	987.630558	541.994458	3065.054022	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1135.308605	632.907171	3065.878949	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	723.412188	0.000000	3063.541661	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.055188	0.000000	2.487721	27.783263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.162782	0.000000	2.484859	27.178184	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	-17.365955	0.000000	2.145463	26.133263	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	978.683280	0.000000	10002.430005	25.563861	13.000000	0.000000	0	0	0	0	0	1	0	1
1.4	-16.643889	0.000000	2.429836	24.213861	12.000000	0.000000	0	0	0	0	0	1	0	0
1.5	-16.987054	0.000000	2.428591	22.083263	12.000000	0.000000	0	0	0	0	0	1	0	0
1.6	18717.768522	18263.099959	3110.993365	1874.833062	31.000000	0.000000	1	0	1	0	1	0	0	0
1.7	-6.695554	0.000000	2.430773	18.033263	11.000000	0.000000	0	0	0	0	0	0	0	0
1.8	966.823245	0.000000	10002.509566	16.078184	10.000000	0.000000	0	0	0	0	0	1	0	1
1.9	-16.218925	0.000000	2.507884	13.983263	10.000000	0.000000	0	0	0	0	0	0	0	0
2.0	963.350069	509.287993	3066.889728	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	952.953022	498.990971	3066.889564	1957.533612	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	-4.599259	0.000000	22.706114	8.585644	9.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-13.929146	0.000000	21.661359	6.485678	8.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-14.088195	0.000000	20.851906	4.986457	8.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-14.178906	0.000000	20.359002	3.630526	8.000000	0.000000	0	0	0	1	0	0	0	0
4.8	1081.165190	1118.960025	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.9	251.788035	289.684529	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.0	251.725009	289.722315	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.1	251.627919	289.725514	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.2	251.420322	289.617942	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.3	252.213693	290.511418	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.4	251.201314	289.599119	20.000000	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
5.5	260.181198	297.679041	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.6	259.699285	297.297166	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.7	260.357311	298.055240	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.8	259.039782	296.837736	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.9	258.805750	296.703716	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
6.0	-17.730899	7.831572	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.1	-27.790175	-2.127678	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.2	-37.888880	-2.270145	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.3	-36.959759	-2.241008	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.4	-37.157334	-2.338575	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.5	-37.255781	-2.337021	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.6	-36.373075	-2.354309	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.7	-36.608988	-2.490211	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.8	-36.776204	-2.557412	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.9	-35.924249	-2.605441	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.0	-36.175538	-2.756713	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.1	-36.315049	-2.796209	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.2	-35.745644	-3.126791	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.3	-35.957466	-3.238604	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.4	-36.301624	-3.482757	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.5	-50.997124	-10.177772	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
7.6	-51.323426	-10.404073	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
7.7	-50.654324	-10.634968	20.000000	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
