time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.311689	1.570796	7.412000	0.000000	4.000000
0.400000	-1.750000	193.052889	1.570796	7.412000	0.000000	4.000000
0.500000	-1.750000	193.794089	1.570796	7.412000	0.000000	4.000000
0.600000	-1.750000	194.535289	1.570796	7.412000	0.000000	4.000000
0.700000	-1.749972	195.274565	1.570528	7.311406	-2.696667	7.000000
0.800000	-1.749023	195.992182	1.568135	7.041741	-2.696654	7.000000
0.900000	-1.746115	196.682842	1.565050	6.772077	-2.696642	7.000000
1.000000	-1.741462	197.346476	1.562717	6.502413	-2.696635	7.000000
1.100000	-1.735956	197.983130	1.561843	6.232752	-2.696609	7.000000
1.200000	-1.730499	198.611306	1.562652	6.330752	0.980000	2.000000
1.300000	-1.726232	199.214934	1.565050	5.742752	-5.880000	1.000000
1.400000	-1.723971	199.759531	1.568352	5.154752	-5.880000	1.000000
1.500000	-1.723616	200.245438	1.571795	4.566752	-5.880000	1.000000
1.600000	-1.724777	200.691421	1.574923	4.355698	-2.110542	7.000000
1.700000	-1.727266	201.141854	1.577570	4.649698	2.940000	0.000000
1.800000	-1.730738	201.591916	1.579237	4.355698	-2.940000	3.000000
1.900000	-1.734375	202.012622	1.579375	4.061698	-2.940000	3.000000
2.000000	-1.737461	202.404000	1.577669	3.767698	-2.940000	3.000000
2.100000	-1.739332	202.765779	1.573988	3.473698	-2.940000	3.000000
2.200000	-1.739510	203.098126	1.568450	3.179698	-2.940000	3.000000
2.300000	-1.737766	203.401333	1.561349	2.885698	-2.940000	3.000000
2.400000	-1.734055	203.674759	1.553046	2.591698	-2.940000	3.000000
2.500000	-1.728605	203.918476	1.543983	2.297698	-2.940000	3.000000
2.600000	-1.721840	204.132957	1.534622	2.003698	-2.940000	3.000000
2.700000	-1.714277	204.317873	1.525426	1.709698	-2.940000	3.000000
2.800000	-1.699278	204.598781	1.509262	1.121698	-2.940000	3.000000
2.900000	-1.688918	204.754273	1.498966	0.544877	-2.940000	3.000000
3.000000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.100000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.200000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.300000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.400000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.500000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.600000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.700000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.800000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
3.900000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
4.000000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
4.100000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
4.200000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
4.300000	-1.682794	204.836616	1.493071	0.010000	-2.940000	3.000000
4.400000	-1.679631	204.875330	1.490118	0.304000	2.940000	0.000000
4.500000	-1.674870	204.931572	1.485854	0.598000	2.940000	0.000000
4.600000	-1.667929	205.009785	1.480261	0.892000	2.940000	0.000000
4.700000	-1.658110	205.113490	1.472665	1.186000	2.940000	0.000000
4.800000	-1.643807	205.247624	1.458364	1.480000	2.940000	0.000000
4.900000	-1.624081	205.410236	1.443052	1.774000	2.940000	0.000000
5.000000	-1.597777	205.600782	1.424449	2.068000	2.940000	0.000000
5.100000	-1.562896	205.819954	1.402165	2.362000	2.940000	0.000000
5.200000	-1.517344	206.067203	1.375935	2.656000	2.940000	0.000000
5.300000	-1.458783	206.341579	1.345538	2.950000	2.940000	0.000000
5.400000	-1.386913	206.632722	1.311852	3.048000	0.980000	2.000000
5.500000	-1.302211	206.930637	1.275892	3.146000	0.980000	2.000000
5.600000	-1.203450	207.234540	1.237718	3.244000	0.980000	2.000000
5.700000	-1.089416	207.543531	1.197421	3.342000	0.980000	2.000000
5.800000	-0.958931	207.856591	1.155124	3.440000	0.980000	2.000000
5.900000	-0.810875	208.172588	1.110973	3.538000	0.980000	2.000000
6.000000	-0.644211	208.490274	1.065135	3.636000	0.980000	2.000000
6.100000	-0.458002	208.808304	1.017790	3.734000	0.980000	2.000000
6.200000	-0.251428	209.125238	0.969123	3.832000	0.980000	2.000000
6.300000	-0.023805	209.439560	0.919315	3.930000	0.980000	2.000000
6.400000	0.225416	209.749689	0.868532	4.028000	0.980000	2.000000
6.500000	0.496736	210.053957	0.816915	4.126000	0.980000	2.000000
6.600000	0.790433	210.350663	0.764607	4.224000	0.980000	2.000000
6.700000	1.106598	210.638100	0.711769	4.322000	0.980000	2.000000
6.800000	1.445156	210.914564	0.658583	4.420000	0.980000	2.000000
6.900000	1.805867	211.178392	0.605255	4.518000	0.980000	2.000000
7.000000	2.188321	211.427988	0.552012	4.616000	0.980000	2.000000
7.100000	2.591946	211.661862	0.499101	4.714000	0.980000	2.000000
7.200000	3.016018	211.878662	0.446794	4.812000	0.980000	2.000000
