time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	429.062748	2.516723	2162.767484	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	423.677152	0.634427	2129.707189	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	811.307320	454.510406	2193.505128	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	802.093201	444.396248	2193.504662	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	801.098274	449.380702	2130.508213	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	959.730044	551.053838	2131.332284	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	791.720014	439.202442	2130.508213	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	802.392856	448.977277	2129.538019	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	950.138010	539.783087	2130.270654	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	630.346985	0.000000	2128.194860	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	948.823829	537.675009	2130.243367	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	641.321208	0.000000	2128.874279	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	642.937515	0.000000	2128.874040	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	943.242592	530.405699	2130.190059	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	563.972717	0.000000	2133.506758	3919.208741	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	572.097056	0.000000	2098.227974	3904.732485	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	577.279116	0.000000	2132.753298	3933.153567	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	416.204018	0.000000	2101.901312	2330.573184	30.000000	0.000000	1	0	0	0	0	0	0	0
1.8	967.840572	523.492175	2121.828008	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	412.952588	453.388754	16.350455	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	610.566303	603.089289	16.350455	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.1	416.605873	456.237700	16.350455	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	415.620488	455.352324	16.350455	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	419.994840	459.278591	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	410.899454	449.283211	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	408.941938	447.425700	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	407.778383	445.362151	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	405.248784	442.932558	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	403.522223	440.306001	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	400.323642	437.207426	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	397.703487	433.687275	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	389.831481	425.915275	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	378.532315	414.716096	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	367.842575	403.126366	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
