time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.149848	1.570796	6.530000	-2.940000	3.000000
0.400000	-1.750000	192.773297	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.372398	1.570796	6.040000	0.980000	2.000000
0.600000	-1.750000	193.976398	1.570796	6.040000	0.000000	4.000000
0.700000	-1.750000	194.580398	1.570796	6.040000	0.000000	4.000000
0.800000	-1.750012	195.157726	1.570959	5.644126	0.980000	2.000000
0.900000	-1.750756	195.727070	1.573773	5.742126	0.980000	2.000000
1.000000	-1.754075	196.306196	1.579688	5.840126	0.980000	2.000000
1.100000	-1.761696	196.895071	1.588093	5.938126	0.980000	2.000000
1.200000	-1.775057	197.493633	1.598356	6.036126	0.980000	2.000000
1.300000	-1.795286	198.101816	1.609821	6.134126	0.980000	2.000000
1.400000	-1.823123	198.719516	1.621787	6.232126	0.980000	2.000000
1.500000	-1.858882	199.346631	1.633542	6.330126	0.980000	2.000000
1.600000	-1.902058	199.978166	1.644276	6.330126	0.000000	4.000000
1.700000	-1.951474	200.609245	1.653207	6.330126	0.000000	4.000000
1.800000	-2.006214	201.244831	1.659714	6.428126	0.980000	2.000000
1.900000	-2.065015	201.889897	1.663082	6.526126	0.980000	2.000000
2.000000	-2.125657	202.544635	1.662530	6.624126	0.980000	2.000000
2.100000	-2.185311	203.209299	1.657296	6.722126	0.980000	2.000000
2.200000	-2.240514	203.884173	1.646655	6.820126	0.980000	2.000000
2.300000	-2.287186	204.569501	1.629976	6.918126	0.980000	2.000000
2.400000	-2.320470	205.260496	1.606851	6.918126	0.000000	4.000000
2.500000	-2.335475	205.952119	1.577058	6.918126	0.000000	4.000000
2.600000	-2.327480	206.643844	1.540325	6.918126	0.000000	4.000000
2.700000	-2.291624	207.334669	1.496445	6.918126	0.000000	4.000000
2.800000	-2.223000	208.022990	1.445297	6.918126	0.000000	4.000000
2.900000	-2.116781	208.706495	1.386860	6.918126	0.000000	4.000000
3.000000	-1.968386	209.382071	1.321229	6.918126	0.000000	4.000000
3.100000	-1.773676	210.045751	1.248621	6.918126	0.000000	4.000000
3.200000	-1.534886	210.679104	1.171234	6.624126	-2.940000	3.000000
3.300000	-1.253014	211.278341	1.090844	6.624126	0.000000	4.000000
3.400000	-0.923050	211.852484	1.007616	6.624126	0.000000	4.000000
