time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.149848	1.570796	6.530000	-2.940000	3.000000
0.400000	-1.750000	192.773297	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.337864	1.570796	5.354000	-5.880000	1.000000
0.600000	-1.750000	193.888079	1.570796	5.648000	2.940000	0.000000
0.700000	-1.750000	194.457810	1.570796	5.746000	0.980000	2.000000
0.800000	-1.750007	195.037344	1.570945	5.844000	0.980000	2.000000
0.900000	-1.753170	195.626643	1.585137	5.942000	0.980000	2.000000
1.000000	-1.771276	196.225439	1.619550	6.040000	0.980000	2.000000
1.100000	-1.815118	196.832706	1.667664	6.138000	0.980000	2.000000
1.200000	-1.891967	197.446546	1.723434	6.236000	0.980000	2.000000
1.300000	-2.005631	198.064611	1.781403	6.334000	0.980000	2.000000
1.400000	-2.156664	198.684723	1.836761	6.432000	0.980000	2.000000
1.500000	-2.342707	199.305504	1.885372	6.530000	0.980000	2.000000
1.600000	-2.557233	199.922214	1.923563	6.530000	0.000000	4.000000
1.700000	-2.793103	200.536387	1.948979	6.628000	0.980000	2.000000
1.800000	-3.043871	201.155229	1.960077	6.726000	0.980000	2.000000
1.900000	-3.300416	201.782298	1.955617	6.824000	0.980000	2.000000
2.000000	-3.552655	202.421637	1.934972	6.922000	0.980000	2.000000
2.100000	-3.788122	203.072513	1.898419	6.922000	0.000000	4.000000
2.200000	-3.996094	203.737785	1.846897	7.020000	0.980000	2.000000
2.300000	-4.167038	204.423574	1.781320	7.118000	0.980000	2.000000
2.400000	-4.291073	205.139255	1.701975	7.412000	2.940000	0.000000
2.500000	-4.354820	205.877434	1.610806	7.412000	0.000000	4.000000
2.600000	-4.347087	206.633013	1.509593	7.706000	2.940000	0.000000
2.700000	-4.255789	207.412590	1.398232	8.000000	2.940000	0.000000
2.800000	-4.072715	208.190874	1.280865	8.000000	0.000000	4.000000
2.900000	-3.793145	208.955581	1.159954	8.294000	2.940000	0.000000
3.000000	-3.408636	209.706436	1.035928	8.588000	2.940000	0.000000
3.100000	-2.917392	210.428044	0.911410	8.882000	2.940000	0.000000
3.200000	-2.321579	211.105687	0.788975	9.176000	2.940000	0.000000
3.300000	-1.626676	211.726423	0.671022	9.470000	2.940000	0.000000
