time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	506.857395	-9.250000	2044.066069	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	423.472257	3.016168	2108.162750	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	959.312996	551.549788	2146.079380	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	957.444920	555.651850	2073.974298	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	970.191336	554.847264	2107.726602	2449.848484	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	947.196087	544.747095	2068.264997	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	780.160787	432.889691	2067.376674	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	947.809002	544.559991	2068.264690	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	658.958482	0.000000	2068.155974	4961.895347	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	659.678910	0.000000	2068.155993	4960.854199	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	944.525941	539.586161	2068.221398	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	574.155367	0.000000	2072.316369	4077.557400	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	662.252631	0.000000	2068.401807	4981.686505	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	664.514741	0.000000	2068.401717	4983.705665	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	663.192614	0.000000	2068.401864	4972.489763	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	936.773331	529.356573	2068.113470	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.6	440.449664	0.000000	2079.123899	2712.180729	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	691.651345	0.000000	2068.395143	5313.715092	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	631.923630	625.301757	17.468624	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	437.368299	477.857442	17.468624	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	824.738403	0.000000	2066.321662	6646.942747	37.000000	0.000000	1	0	1	0	0	0	0	0
2.1	447.130609	486.807894	17.468624	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	452.632701	492.047821	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.3	453.986535	491.829150	17.468624	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.4	443.200160	481.142797	17.468624	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	937.752463	497.854950	2025.569309	2797.999482	34.000000	0.000000	1	0	0	0	0	0	0	0
2.6	465.949889	503.835247	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	463.388807	500.374197	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	459.375475	496.460895	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	450.093146	486.278594	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	450.697911	486.042417	17.468624	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
3.1	429.199765	463.644291	17.468624	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
