time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	605.927154	-9.250000	3039.744469	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	522.414834	2.539091	3108.305666	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.647047	0.514427	1.087044	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.858227	-9.596753	1.087044	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.069407	-9.707933	1.087044	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.280587	-9.819113	1.087044	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.462519	-9.930293	1.382788	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.651996	0.000000	1.382692	15.333276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.881073	0.000000	1.382812	13.904745	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-20.063837	0.000000	1.382722	13.233276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.263085	0.000000	1.381443	12.183276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.1	803.386958	0.000000	3076.020566	5269.422673	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	-6.869842	0.000000	20.911626	10.233276	12.000000	0.000000	0	0	0	1	0	0	0	0
1.3	-15.963432	0.000000	20.911443	9.333276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.4	-16.041645	0.000000	20.899081	8.583276	11.000000	0.000000	0	0	0	1	0	0	0	0
1.5	-15.071568	0.000000	20.753505	7.833276	10.000000	0.000000	0	0	0	1	0	0	0	0
1.6	14986.075243	14474.209109	3123.984720	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
1.7	-6.390403	0.000000	0.647398	6.633276	9.000000	0.000000	0	0	0	0	0	0	0	0
1.8	-16.538705	0.000000	0.647042	5.655078	9.000000	0.000000	0	0	0	0	0	0	0	0
1.9	937.877099	0.000000	10001.059294	5.435247	9.000000	0.000000	0	0	0	0	0	0	0	1
2.0	-15.750013	0.000000	1.058803	4.835760	8.000000	0.000000	0	0	0	0	0	0	0	0
2.1	-15.903040	0.000000	1.056033	4.386100	8.000000	0.000000	0	0	0	0	0	0	0	0
2.2	-16.069620	0.000000	1.054287	3.557331	8.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.191062	0.000000	1.053701	3.354998	7.000000	0.000000	0	0	0	0	0	0	0	0
2.4	890.366806	0.000000	10001.052643	2.988747	7.000000	0.000000	0	0	0	0	0	0	0	1
2.5	-15.486662	0.000000	1.053235	2.473112	7.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.632540	0.000000	1.044929	2.102109	7.000000	0.000000	0	0	0	0	0	0	0	0
2.7	-14.780873	0.000000	0.995479	1.696238	6.000000	0.000000	0	0	0	0	0	0	0	0
2.8	-14.931713	0.000000	0.909689	1.241750	6.000000	0.000000	0	0	0	0	0	0	0	0
2.9	797.935662	0.000000	10000.799444	0.730750	6.000000	0.000000	0	0	0	0	0	0	0	1
3.0	-15.222885	0.000000	0.670135	0.332020	6.000000	0.000000	0	0	0	0	0	0	0	0
3.1	-15.333339	0.000000	0.524867	0.431662	6.000000	0.000000	0	0	0	0	0	0	0	0
3.2	-15.451962	0.000000	0.379118	0.392322	6.000000	0.000000	0	0	0	0	0	0	0	0
3.3	-15.566585	0.000000	0.257275	0.328881	6.000000	0.000000	0	0	0	0	0	0	0	0
3.4	480.566647	0.000000	10000.179638	0.209479	6.000000	0.000000	0	0	0	0	0	0	0	1
4.5	2290.594787	2327.389882	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.6	289.256551	326.153198	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.7	289.731568	326.728967	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.8	288.344919	325.442569	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	288.085390	325.283087	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.0	288.924041	326.221855	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.1	289.223433	326.621331	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.2	287.662344	325.160256	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.3	288.669325	326.267279	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.4	271.867724	307.327365	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.5	262.242995	297.802671	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.6	262.466207	298.125907	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.7	262.477039	298.236749	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.8	262.120147	297.979860	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.9	262.438167	297.397899	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.0	59.383057	35.928891	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.1	60.320258	36.966118	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.2	48.959248	35.549252	20.000000	504.901058	33.000000	0.000000	0	0	1	0	0	0	0	0
6.3	51.048254	36.738282	20.000000	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.4	50.597815	36.387865	20.000000	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.5	51.603474	37.493540	20.000000	504.901058	32.000000	0.000000	0	0	1	0	0	0	0	0
6.6	51.298723	36.288800	20.000000	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
6.7	51.012720	36.102801	20.000000	504.901058	31.000000	0.000000	0	0	1	0	0	0	0	0
6.8	-32.404743	0.801266	20.000000	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.9	-31.841235	0.464780	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.0	-32.207956	0.198071	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.1	-32.712467	-0.206426	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.2	-33.006782	-0.400727	20.000000	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.3	-47.972415	-7.394959	20.000000	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
