time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.482223	1.570796	6.824000	-5.880000	1.000000
0.300000	-1.750000	192.149848	1.570796	6.530000	-2.940000	3.000000
0.400000	-1.750000	192.773297	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.372398	1.570796	6.040000	0.980000	2.000000
0.600000	-1.750000	193.976398	1.570796	6.040000	0.000000	4.000000
0.700000	-1.750000	194.580398	1.570796	6.040000	0.000000	4.000000
0.800000	-1.750012	195.157726	1.570959	5.644126	0.980000	2.000000
0.900000	-1.750756	195.727070	1.573773	5.742126	0.980000	2.000000
1.000000	-1.754075	196.306196	1.579688	5.840126	0.980000	2.000000
1.100000	-1.761358	196.875358	1.587711	5.546126	-2.940000	3.000000
1.200000	-1.772761	197.415021	1.596036	5.252126	-2.940000	3.000000
1.300000	-1.787466	197.925264	1.602850	4.958126	-2.940000	3.000000
1.400000	-1.803963	198.405990	1.606847	4.664126	-2.940000	3.000000
1.500000	-1.820746	198.863983	1.607442	4.503810	-1.603151	7.000000
1.600000	-1.836859	199.319036	1.604375	4.601810	0.980000	2.000000
1.700000	-1.850596	199.769874	1.597657	4.421465	-1.803455	7.000000
1.800000	-1.860228	200.202784	1.588108	4.241123	-1.803418	7.000000
1.900000	-1.865098	200.617777	1.576762	4.060785	-1.803379	7.000000
2.000000	-1.864914	201.038679	1.563946	4.354785	2.940000	0.000000
2.100000	-1.858603	201.488979	1.549792	4.648785	2.940000	0.000000
2.200000	-1.844966	201.968457	1.535181	4.942785	2.940000	0.000000
2.300000	-1.823166	202.477008	1.521056	5.236785	2.940000	0.000000
2.400000	-1.792838	203.014641	1.508351	5.530785	2.940000	0.000000
2.500000	-1.754267	203.581200	1.497864	5.824785	2.940000	0.000000
2.600000	-1.708291	204.176615	1.490144	6.118785	2.940000	0.000000
2.700000	-1.656131	204.801088	1.485283	6.412785	2.940000	0.000000
2.800000	-1.600469	205.439946	1.482840	6.412785	0.000000	4.000000
2.900000	-1.543338	206.083623	1.481847	6.510785	0.980000	2.000000
3.000000	-1.485270	206.732107	1.481065	6.510785	0.000000	4.000000
3.100000	-1.426399	207.380518	1.479158	6.510785	0.000000	4.000000
3.200000	-1.365082	208.033652	1.474722	6.608785	0.980000	2.000000
3.300000	-1.299160	208.691232	1.466335	6.608785	0.000000	4.000000
3.400000	-1.224331	209.362705	1.452353	6.902785	2.940000	0.000000
3.500000	-1.135911	210.047284	1.431142	6.902785	0.000000	4.000000
3.600000	-1.030274	210.729405	1.401805	6.902785	0.000000	4.000000
3.700000	-0.900656	211.412351	1.363150	7.000785	0.980000	2.000000
