time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	457.571345	2.687585	2447.839744	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	447.318001	-7.465815	2447.839014	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	882.255743	285.034541	2409.838628	3951.800330	39.000000	0.000000	1	0	1	0	0	0	0	0
0.3	868.794766	482.906840	2479.229747	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	851.180864	625.584932	2465.486751	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	-20.593014	-8.676084	0.671954	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	857.833006	477.277488	2413.484517	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	848.643141	467.187622	2413.484508	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1006.564203	568.221550	2414.240420	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	658.531326	0.000000	2411.951947	4609.250768	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	1004.176212	565.039641	2414.213019	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	670.689523	0.000000	2412.622068	4725.075787	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	575.425599	0.000000	2416.029242	3758.162414	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	998.556446	557.734197	2414.148508	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	412.310106	0.000000	2420.998996	2107.368199	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	659.520975	475.211037	21.846213	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	599.488244	0.000000	2416.179117	3880.767959	31.000000	0.000000	1	0	1	0	0	0	0	0
1.7	429.807011	0.000000	2420.827387	2257.271416	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	796.201751	473.466186	23.140265	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	431.894339	473.737001	11.941470	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	613.136971	0.000000	2411.672704	4184.307878	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	612.579054	0.000000	2411.672901	4164.871626	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	433.507366	473.631231	11.941470	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	449.613763	477.930379	11.941470	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	427.292230	466.594889	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	426.650106	465.052774	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	425.763259	463.265937	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	423.658840	461.261527	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	423.329730	460.032426	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	419.585993	456.388699	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	415.423105	452.325819	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	412.957614	448.960336	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	403.145440	439.248150	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	393.072836	428.275560	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	381.631915	416.934652	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
