time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	457.882094	2.283937	2455.026431	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	451.999233	0.634427	2414.621973	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	868.680768	483.389616	2482.560267	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	859.468172	473.276992	2482.559697	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	857.588907	477.767700	2415.600939	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-9.264874	2.824578	0.928444	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	859.027141	477.432772	2414.499367	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	848.835802	467.341428	2414.499270	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1006.184540	567.791116	2415.391952	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	659.180047	0.000000	2412.900581	4605.776895	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.062249	0.000000	2.749125	27.783263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.201937	0.000000	2.743351	26.883263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	967.737166	0.000000	9901.946951	26.278184	13.000000	0.000000	0	0	0	0	0	0	0	1
1.3	-16.505499	0.000000	2.818742	25.233263	12.000000	0.000000	0	0	0	0	0	0	0	0
1.4	-16.745996	0.000000	2.817432	23.883263	12.000000	0.000000	0	0	0	0	0	1	0	0
1.5	950.437186	0.000000	9901.943451	21.633263	11.000000	0.000000	0	0	0	0	0	0	0	1
1.6	-16.351925	0.000000	2.817015	19.678184	11.000000	0.000000	0	0	0	0	0	0	0	0
1.7	941.067299	0.000000	9901.940122	17.583263	11.000000	0.000000	0	0	0	0	0	1	0	1
1.8	-15.948010	0.000000	2.813762	15.663602	10.000000	0.000000	0	0	0	0	0	0	0	0
1.9	964.375603	516.716437	2471.392140	2449.848484	30.000000	0.000000	1	0	1	0	1	0	0	0
2.0	983.273988	507.343583	2446.916155	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
2.1	982.201351	506.371032	2446.915497	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
2.2	815.501590	425.320801	2416.964503	1957.533612	38.000000	0.000000	1	0	1	0	0	0	0	0
2.3	978.987486	502.371317	2446.806862	2797.999482	38.000000	0.000000	1	0	1	0	0	0	0	0
2.4	979.228604	501.712424	2446.806941	2797.999482	37.000000	0.000000	1	0	1	0	0	0	0	0
2.5	820.791520	429.893610	2417.081242	1957.533612	37.000000	0.000000	1	0	1	0	0	0	0	0
2.6	975.964899	497.665297	2446.679691	2797.999482	36.000000	0.000000	1	0	1	0	0	0	0	0
2.7	975.018351	496.818751	2446.679675	2797.999482	36.000000	0.000000	1	0	1	0	0	0	0	0
2.8	976.614383	497.514797	2446.679566	2797.999482	35.000000	0.000000	1	0	1	0	0	0	0	0
2.9	976.436669	497.437078	2446.679603	2797.999482	35.000000	0.000000	1	0	1	0	0	0	0	0
3.0	922.943025	498.438791	15.737583	4660.399376	34.000000	0.000000	0	0	0	0	0	0	0	0
3.1	912.019118	486.614887	15.737583	4660.399376	33.000000	0.000000	0	0	0	0	0	0	0	0
3.2	977.509456	500.155294	2403.536684	2797.999482	33.000000	0.000000	1	0	1	0	0	0	0	0
3.3	966.900135	488.645987	2403.536630	2797.999482	32.000000	0.000000	1	0	1	0	0	0	0	0
3.4	673.373775	0.000000	2459.773223	4603.850989	32.000000	0.000000	1	0	1	0	0	0	0	0
3.5	661.628681	0.000000	2459.773436	4580.672753	32.000000	0.000000	1	0	1	0	0	0	0	0
3.6	6567.382965	0.000000	61854.529093	4498.072944	31.000000	0.000000	1	0	1	0	0	0	0	6
