time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	423.601460	2.340970	2109.596009	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	418.183223	0.634427	2074.439307	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	801.025053	449.069954	2144.388116	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	791.812095	438.956961	2144.387621	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	736.636068	542.908892	2143.653502	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	782.650392	435.460119	2073.834920	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	772.475953	425.385687	2073.834887	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	773.017670	425.027412	2073.834854	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	939.025972	534.078107	2074.627002	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	624.240189	0.000000	2072.208937	4600.002423	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	624.454921	0.000000	2072.208177	4589.737757	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	623.324704	0.000000	2072.207608	4577.757967	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	624.117263	0.000000	2072.207553	4576.857967	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	929.859945	523.437861	2074.508086	2449.848484	33.000000	0.000000	1	0	1	0	0	0	0	0
1.4	364.956565	0.000000	2081.245184	1970.622501	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	623.740394	438.543235	30.633575	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	638.787902	0.000000	2071.798035	4615.137435	31.000000	0.000000	1	0	1	0	0	0	0	0
1.7	390.476448	0.000000	2081.370838	2205.421678	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	613.023680	0.000000	2072.330060	4532.858297	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	384.731884	425.780962	20.325196	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	585.060051	0.000000	2072.455107	4232.488442	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	583.730977	0.000000	2072.454438	4222.926300	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	397.561430	436.890668	20.325196	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	402.675587	441.936535	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	391.280302	430.641254	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	390.504688	428.965644	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	487.455013	0.000000	2042.278422	3239.118006	34.000000	0.000000	1	0	0	0	0	0	0	0
2.7	391.429282	429.083427	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	389.863876	426.618024	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	386.927595	423.781746	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	383.598867	420.553022	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	2218.850283	2254.904441	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	372.124329	408.278467	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	361.832292	397.086440	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	350.162929	385.517086	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
