time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	422.865462	2.538862	2100.201245	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	417.195862	0.634427	2064.506635	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	798.445046	448.330971	2125.712154	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	789.230770	438.216661	2125.711652	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	788.219275	442.922697	2065.371486	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	946.868065	544.593645	2066.261221	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	778.841015	432.744437	2065.371486	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	789.495396	442.508432	2064.323985	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	937.264268	533.319454	2065.114998	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	623.847665	0.000000	2062.873800	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	935.955233	531.216735	2065.085537	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	634.814655	0.000000	2063.607357	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	636.433304	0.000000	2063.607099	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	626.623038	442.692539	25.605712	2117.032871	32.000000	0.000000	0	0	1	0	0	0	0	0
1.4	381.244623	0.000000	2071.387110	2039.431762	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	623.175158	438.483602	25.927864	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	558.974898	0.000000	2066.285203	3805.532137	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	553.961015	0.000000	2066.282903	3864.728976	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	758.841473	435.714081	27.280752	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	396.677251	438.192128	15.410439	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	575.285386	0.000000	2061.749804	4155.704262	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	576.678325	0.000000	2061.749579	4156.273712	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	398.079199	437.875389	15.410439	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	414.100405	442.097162	15.410439	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	392.387927	430.711611	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	389.837588	428.261282	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	388.859623	426.383325	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	385.681479	423.305190	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	384.283938	421.007656	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	381.406879	418.230605	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	378.141855	415.065589	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	1348.589801	1384.613542	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	365.817833	401.941563	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	355.635028	390.858771	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
