time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	509.190826	-9.250000	2067.517691	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	532.011102	0.630000	2097.433661	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	964.246150	547.772414	2129.330963	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	951.719806	547.659014	2094.822178	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	952.510822	547.550027	2094.822004	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	952.306255	547.445460	2094.821977	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	953.106087	547.345288	2094.821745	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	954.430504	547.769469	2094.822990	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	663.392055	0.000000	2095.498402	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	951.485193	544.029507	2094.794732	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	950.731259	543.375628	2094.794442	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	683.873116	0.000000	2096.748944	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	950.138699	540.987790	2094.769503	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	601.752253	0.000000	2102.349298	4313.647343	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	948.730046	538.786321	2094.731568	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	693.681031	0.000000	2097.675935	5234.092312	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	751.338100	0.000000	2096.484997	5886.619207	39.000000	0.000000	1	0	1	0	0	0	0	0
1.7	751.274659	0.000000	2096.485286	5891.408511	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	478.411822	518.956446	17.550692	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	681.719853	662.475158	17.550692	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.0	659.845745	652.182396	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	476.079737	515.508075	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	476.400005	514.928379	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	472.957965	511.586373	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	486.582067	523.546412	17.550692	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	948.577500	504.123770	2082.108013	2797.999482	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	500.897705	537.028190	17.550692	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	940.026358	497.258141	2048.654620	2797.999482	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	505.051571	541.253337	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	492.056340	528.358129	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	2456.094607	0.000000	22490.304846	2543.889187	11.000000	0.000000	1	0	0	0	0	0	0	2
