time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	528.060756	2.545545	3158.378782	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	522.337634	0.634427	3122.212984	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.505731	0.525460	0.961890	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.712501	-9.581310	0.961890	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.891868	-9.688080	1.238981	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.098638	-9.794850	1.238981	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.332811	-9.901620	0.961890	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.516210	0.000000	0.961013	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.701458	0.000000	0.960663	14.583276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-19.883089	0.000000	0.930791	13.533276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.077558	0.000000	0.713729	12.633276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.1	719.051885	0.000000	3133.732027	4367.178930	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	811.495348	0.000000	3131.369856	5395.976818	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	702.568578	518.629595	26.267747	2117.032871	32.000000	0.000000	0	0	1	0	0	0	0	0
1.4	693.059538	508.220579	26.267747	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.5	692.502618	506.763680	26.267747	2117.032871	30.000000	0.000000	0	0	1	0	0	0	0	0
1.6	692.523831	0.000000	3129.101483	4082.167565	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	946.252036	785.342262	16.384434	2075.700691	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	841.827659	518.585101	28.139039	3569.683918	39.000000	0.000000	0	0	1	0	0	0	0	0
1.9	536.471382	576.781989	16.384434	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	1021.267932	588.275835	28.141921	4660.399376	37.000000	0.000000	0	0	1	0	0	0	0	0
2.1	553.933340	593.377314	16.384434	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	721.416336	711.963900	16.384434	504.901058	36.000000	0.000000	0	0	1	0	0	0	0	0
2.3	1018.000331	584.412291	28.369763	4660.399376	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	572.846959	599.517718	16.384434	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.5	573.578650	600.349451	16.384434	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
2.6	575.520148	601.390990	16.384434	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.7	560.011325	597.270281	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	560.177678	596.536673	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	557.828864	594.287896	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	555.431676	590.990744	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	554.155053	589.814156	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	542.753646	578.512784	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	533.488990	568.348161	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
