time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	423.978332	2.347625	2113.320307	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	418.560391	0.634427	2078.233540	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	802.330231	449.446103	2153.812500	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	793.117229	439.333066	2153.812005	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	790.930138	444.281854	2079.083663	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	949.575135	545.953182	2079.958248	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	781.551878	434.103594	2079.083663	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	792.210520	443.870090	2078.054000	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	939.974052	534.679784	2078.831543	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	625.216232	0.000000	2076.628510	4614.383076	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	938.663895	532.575895	2078.802584	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	636.184636	0.000000	2077.349575	4702.521634	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	637.802793	0.000000	2077.349322	4712.171657	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	933.088087	525.312334	2078.746008	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	558.876062	0.000000	2082.266009	3919.208741	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	566.332905	0.000000	2040.378340	3904.732485	31.000000	0.000000	1	0	0	0	0	0	0	0
1.6	572.176534	0.000000	2081.466364	3933.153567	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	410.463482	0.000000	2044.276841	2330.573184	30.000000	0.000000	1	0	0	0	0	0	0	0
1.8	957.603284	518.414307	2069.871394	2797.999482	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	408.408390	448.310375	21.799103	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
2.0	605.995879	597.984685	21.799103	504.901058	38.000000	0.000000	0	0	1	0	0	0	0	0
2.1	412.063802	451.161447	21.799103	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.2	411.076887	450.274543	21.799103	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	414.305237	453.588988	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.4	405.189982	443.573738	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.5	403.233900	441.717662	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	402.071860	439.655628	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	399.543865	437.227639	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	397.819003	434.602782	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	394.622227	431.506011	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	392.003992	427.987781	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.1	384.134032	420.217826	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	372.837012	409.020793	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	362.149623	397.433414	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
