time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	508.214966	-9.250000	2057.710029	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	531.561338	0.630000	2092.913411	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	962.587594	547.322650	2117.044167	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	950.824629	547.209250	2090.294766	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	951.615644	547.100263	2090.294591	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	951.411078	546.995696	2090.294564	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	952.210910	546.895524	2090.294332	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	953.534855	547.319233	2090.295580	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	662.941583	0.000000	2090.972844	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	950.589720	543.579455	2090.267245	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	949.836733	542.926524	2090.266954	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	683.423054	0.000000	2092.226816	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	949.243614	540.538133	2090.241946	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	690.552663	0.000000	2092.851011	5205.866135	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	948.529234	539.028177	2090.218552	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	697.196696	0.000000	2093.482980	5282.111736	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	657.972752	650.812843	22.804191	504.901058	39.000000	0.000000	0	0	1	0	0	0	0	0
1.7	972.656008	540.925801	37.843022	4660.399376	39.000000	0.000000	0	0	1	0	0	0	0	0
1.8	481.877899	510.898883	22.804191	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	716.190241	0.000000	2090.325751	5421.550651	37.000000	0.000000	1	0	1	0	0	0	0	0
2.0	671.052997	663.306976	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	481.548775	520.893959	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	647.875051	0.000000	2052.260446	4860.645024	35.000000	0.000000	1	0	0	0	0	0	0	0
2.3	483.891874	522.422791	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	497.884751	534.277989	22.804191	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	485.066420	521.559682	22.804191	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.6	494.459281	530.819593	22.804191	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	479.805150	517.028343	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.8	458.461075	494.784283	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	445.388886	481.812109	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	429.417522	465.940759	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
