time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.396882	1.570796	5.942000	0.000000	4.000000
0.600000	-1.750000	194.005813	1.570796	6.236000	2.940000	0.000000
0.700000	-1.750000	194.614679	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750017	195.196460	1.571028	5.781585	0.980000	2.000000
0.900000	-1.750912	195.779538	1.574179	5.879585	0.980000	2.000000
1.000000	-1.754666	196.372392	1.580511	5.977585	0.980000	2.000000
1.100000	-1.762728	196.955329	1.588968	5.683585	-2.940000	3.000000
1.200000	-1.775212	197.508719	1.597598	5.389585	-2.940000	3.000000
1.300000	-1.791152	198.032630	1.604415	5.095585	-2.940000	3.000000
1.400000	-1.809026	198.532799	1.608054	4.914229	-1.813560	7.000000
1.500000	-1.827077	199.014758	1.607758	4.732873	-1.813560	7.000000
1.600000	-1.843361	199.478591	1.603423	4.551519	-1.813543	7.000000
1.700000	-1.856604	199.938505	1.595250	4.649519	0.980000	2.000000
1.800000	-1.865157	200.388479	1.584054	4.355519	-2.940000	3.000000
1.900000	-1.868132	200.809169	1.571568	4.061519	-2.940000	3.000000
2.000000	-1.865993	201.200532	1.559110	3.767519	-2.940000	3.000000
2.100000	-1.858974	201.591988	1.546775	4.061519	2.940000	0.000000
2.200000	-1.847298	201.983183	1.535410	3.767519	-2.940000	3.000000
2.300000	-1.832803	202.344657	1.526473	3.473519	-2.940000	3.000000
2.400000	-1.816948	202.676608	1.520082	3.179519	-2.940000	3.000000
2.500000	-1.800911	202.979379	1.515927	2.885519	-2.940000	3.000000
2.600000	-1.785550	203.252381	1.513473	2.591519	-2.940000	3.000000
2.700000	-1.771394	203.495731	1.512031	2.297519	-2.940000	3.000000
2.800000	-1.758678	203.709924	1.511002	2.003519	-2.940000	3.000000
2.900000	-1.747017	203.903017	1.509940	1.867674	-1.358444	7.000000
3.000000	-1.725455	204.248182	1.506487	1.595986	-1.358444	7.000000
3.100000	-1.715461	204.399871	1.503728	1.460234	-1.357513	7.000000
3.200000	-1.696806	204.664178	1.496240	1.188732	-1.357513	7.000000
3.300000	-1.688231	204.775258	1.491642	1.053169	-1.355630	7.000000
3.400000	-1.680207	204.873373	1.486822	0.917832	-1.353368	7.000000
3.500000	-1.672950	204.956759	1.482063	0.782542	-1.352902	7.000000
3.600000	-1.666671	205.024896	1.477742	0.648034	-1.345074	7.000000
3.700000	-1.661656	205.076815	1.474363	0.516149	-1.318853	7.000000
3.800000	-1.654800	205.146254	1.468676	0.252378	-1.318853	7.000000
3.900000	-1.652227	205.171361	1.468676	0.252378	0.000000	4.000000
4.000000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.100000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.200000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.300000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.400000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.500000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.600000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.700000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.800000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
4.900000	-1.650978	205.183291	1.464285	0.010000	-2.940000	3.000000
5.000000	-1.646674	205.221895	1.460771	0.304000	2.940000	0.000000
5.100000	-1.640223	205.277968	1.455663	0.598000	2.940000	0.000000
5.200000	-1.630850	205.355927	1.448559	0.892000	2.940000	0.000000
5.300000	-1.617631	205.459345	1.439125	1.186000	2.940000	0.000000
5.400000	-1.599022	205.592814	1.426930	1.480000	2.940000	0.000000
5.500000	-1.574233	205.754732	1.412104	1.774000	2.940000	0.000000
5.600000	-1.542152	205.944391	1.394687	2.068000	2.940000	0.000000
5.700000	-1.500998	206.162475	1.374576	2.362000	2.940000	0.000000
5.800000	-1.449062	206.408464	1.351762	2.656000	2.940000	0.000000
5.900000	-1.384543	206.681505	1.326246	2.950000	2.940000	0.000000
6.000000	-1.307961	206.971451	1.298872	3.048000	0.980000	2.000000
6.100000	-1.220500	207.268576	1.270401	3.146000	0.980000	2.000000
6.200000	-1.121353	207.572363	1.240629	3.244000	0.980000	2.000000
6.300000	-1.009621	207.882206	1.209245	3.342000	0.980000	2.000000
6.400000	-0.884285	208.197377	1.175844	3.440000	0.980000	2.000000
6.500000	-0.744186	208.516993	1.140014	3.538000	0.980000	2.000000
6.600000	-0.588038	208.839992	1.101404	3.636000	0.980000	2.000000
6.700000	-0.414465	209.165101	1.059751	3.734000	0.980000	2.000000
6.800000	-0.222046	209.490831	1.014890	3.832000	0.980000	2.000000
6.900000	-0.009371	209.815459	0.966768	3.930000	0.980000	2.000000
7.000000	0.224887	210.137038	0.915455	4.028000	0.980000	2.000000
7.100000	0.482012	210.453385	0.861135	4.126000	0.980000	2.000000
7.200000	0.762987	210.762152	0.804145	4.224000	0.980000	2.000000
7.300000	1.068461	211.060903	0.744951	4.322000	0.980000	2.000000
7.400000	1.398738	211.347182	0.684106	4.420000	0.980000	2.000000
7.500000	1.753753	211.618589	0.622185	4.518000	0.980000	2.000000
7.600000	2.133087	211.872861	0.559774	4.616000	0.980000	2.000000
