time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	429.264903	3.228923	2157.636525	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	419.000979	-6.935045	2157.635682	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	763.565238	567.896751	2170.318409	258.101642	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	811.293241	454.617589	2182.890620	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	763.049004	566.935222	2167.014687	258.101642	38.000000	0.000000	1	0	1	0	1	0	0	0
0.5	811.796875	242.567392	2109.699463	3951.800330	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	789.698423	438.240016	2120.196626	1874.833062	37.000000	0.000000	1	0	1	0	0	0	0	0
0.7	801.913932	449.593355	2117.884622	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	948.008514	538.731230	2118.758749	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	629.032710	0.000000	2116.095530	4609.670321	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	945.598581	535.527788	2118.727152	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	641.231032	0.000000	2116.867266	4725.358047	34.000000	0.000000	1	0	1	0	0	0	0	0
1.2	546.020153	0.000000	2120.794955	3758.080125	33.000000	0.000000	1	0	1	0	0	0	0	0
1.3	940.201249	528.445741	2118.652761	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	383.006582	0.000000	2126.522566	2107.151485	32.000000	0.000000	1	0	1	0	0	0	0	0
1.5	630.047433	444.519873	34.134690	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.6	556.858084	0.000000	2076.924031	3880.272677	31.000000	0.000000	1	0	0	0	0	0	0	0
1.7	411.401069	0.000000	2125.360859	2266.117484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.8	615.386960	0.000000	2115.609257	4500.928285	39.000000	0.000000	1	0	1	0	0	0	0	0
1.9	394.315032	435.091221	22.732900	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
2.0	587.555901	0.000000	2115.777019	4211.869964	38.000000	0.000000	1	0	1	0	0	0	0	0
2.1	587.678181	0.000000	2115.777132	4215.288993	37.000000	0.000000	1	0	1	0	0	0	0	0
2.2	406.106412	445.163440	22.732900	15.297885	37.000000	0.000000	0	0	1	0	0	0	0	0
2.3	422.961653	450.205434	22.732900	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
2.4	400.564951	439.851684	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.5	399.022308	437.409052	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.6	397.205183	434.691938	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.7	394.886141	432.472906	0.000000	15.297885	34.000000	0.000000	0	0	0	0	0	0	0	0
2.8	393.541392	430.228167	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
2.9	388.881389	425.668175	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.0	385.734496	422.621291	0.000000	15.297885	33.000000	0.000000	0	0	0	0	0	0	0	0
3.1	383.364101	419.350905	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.2	373.620118	409.706911	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.3	363.652102	398.838910	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
3.4	352.263440	387.550262	0.000000	15.297885	31.000000	0.000000	0	0	0	0	0	0	0	0
