time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.179233	1.570796	6.530000	-5.880000	1.000000
0.400000	-1.750000	192.802682	1.570796	5.942000	-5.880000	1.000000
0.500000	-1.750000	193.367249	1.570796	5.354000	-5.880000	1.000000
0.600000	-1.750000	193.907589	1.570796	5.452000	0.980000	2.000000
0.700000	-1.750000	194.457728	1.570796	5.550000	0.980000	2.000000
0.800000	-1.750001	195.017651	1.570807	5.648000	0.980000	2.000000
0.900000	-1.750408	195.587382	1.572777	5.746000	0.980000	2.000000
1.000000	-1.752948	196.166899	1.578026	5.844000	0.980000	2.000000
1.100000	-1.759441	196.756175	1.585940	5.942000	0.980000	2.000000
1.200000	-1.771413	197.355154	1.595862	6.040000	0.980000	2.000000
1.300000	-1.790064	197.963775	1.607102	6.138000	0.980000	2.000000
1.400000	-1.816192	198.581938	1.618933	6.236000	0.980000	2.000000
1.500000	-1.850160	199.209541	1.630632	6.334000	0.980000	2.000000
1.600000	-1.891529	199.841585	1.641395	6.334000	0.000000	4.000000
1.700000	-1.939584	200.478099	1.650518	6.432000	0.980000	2.000000
1.800000	-1.993563	201.123975	1.657345	6.530000	0.980000	2.000000
1.900000	-2.051862	201.779314	1.661110	6.628000	0.980000	2.000000
2.000000	-2.112296	202.444297	1.661064	6.726000	0.980000	2.000000
2.100000	-2.172081	203.119172	1.656461	6.824000	0.980000	2.000000
2.200000	-2.227794	203.804218	1.646550	6.922000	0.980000	2.000000
2.300000	-2.275363	204.499688	1.630639	7.020000	0.980000	2.000000
2.400000	-2.309874	205.200824	1.608253	7.020000	0.000000	4.000000
2.500000	-2.326338	205.902605	1.579141	7.020000	0.000000	4.000000
2.600000	-2.319925	206.604536	1.543034	7.020000	0.000000	4.000000
2.700000	-2.285659	207.305642	1.499711	7.020000	0.000000	4.000000
2.800000	-2.218494	208.004343	1.449025	7.020000	0.000000	4.000000
2.900000	-2.113450	208.698335	1.390961	7.020000	0.000000	4.000000
3.000000	-1.965893	209.384520	1.325958	7.020000	0.000000	4.000000
3.100000	-1.771946	210.059035	1.254732	7.020000	0.000000	4.000000
3.200000	-1.528610	210.717320	1.177866	7.020000	0.000000	4.000000
3.300000	-1.233785	211.354182	1.095836	7.020000	0.000000	4.000000
3.400000	-0.883677	211.968029	1.008455	7.118000	0.980000	2.000000
