time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.770489	1.570796	7.412000	-5.880000	1.000000
0.200000	-1.750000	191.496933	1.570796	7.118000	-2.940000	3.000000
0.300000	-1.750000	192.208733	1.570796	7.118000	0.000000	4.000000
0.400000	-1.750000	192.920533	1.570796	7.118000	0.000000	4.000000
0.500000	-1.750000	193.632333	1.570796	7.118000	0.000000	4.000000
0.600000	-1.750000	194.344133	1.570796	7.118000	0.000000	4.000000
0.700000	-1.749999	195.055770	1.570776	7.094898	-2.940000	3.000000
0.800000	-1.749545	195.750544	1.569127	6.800898	-2.940000	3.000000
0.900000	-1.747491	196.415852	1.566229	6.506898	-2.940000	3.000000
1.000000	-1.743715	197.051742	1.563615	6.212898	-2.940000	3.000000
1.100000	-1.738835	197.658286	1.562091	5.918898	-2.940000	3.000000
1.200000	-1.733534	198.255057	1.561981	6.016898	0.980000	2.000000
1.300000	-1.728562	198.861634	1.563490	6.114898	0.980000	2.000000
1.400000	-1.724977	199.478031	1.566729	6.212898	0.980000	2.000000
1.500000	-1.723891	200.099319	1.571586	6.212898	0.000000	4.000000
1.600000	-1.726239	200.720603	1.577705	6.212898	0.000000	4.000000
1.700000	-1.732719	201.346782	1.584623	6.310898	0.980000	2.000000
1.800000	-1.743806	201.982701	1.591754	6.408898	0.980000	2.000000
1.900000	-1.759541	202.628326	1.598369	6.506898	0.980000	2.000000
2.000000	-1.779458	203.283640	1.603662	6.604898	0.980000	2.000000
2.100000	-1.802323	203.943734	1.606726	6.604898	0.000000	4.000000
2.200000	-1.826413	204.608712	1.606722	6.702898	0.980000	2.000000
2.300000	-1.849570	205.283524	1.602779	6.800898	0.980000	2.000000
2.400000	-1.868435	205.956113	1.594089	6.656849	-1.440489	7.000000
2.500000	-1.879568	206.626621	1.579773	6.754849	0.980000	2.000000
2.600000	-1.878819	207.307008	1.558510	6.852849	0.980000	2.000000
2.700000	-1.860656	207.996937	1.529154	6.950849	0.980000	2.000000
2.800000	-1.818585	208.695611	1.490674	7.048849	0.980000	2.000000
2.900000	-1.747676	209.382048	1.443622	6.754849	-2.940000	3.000000
3.000000	-1.643965	210.049431	1.388338	6.754849	0.000000	4.000000
3.100000	-1.500428	210.709360	1.323644	6.754849	0.000000	4.000000
3.200000	-1.311496	211.357713	1.249658	6.754849	0.000000	4.000000
3.300000	-1.072330	211.989220	1.166813	6.754849	0.000000	4.000000
