time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	605.927154	-9.250000	3039.744469	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	628.937218	0.630000	3071.567855	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.741709	0.512210	1.407705	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.957299	-9.603380	1.407705	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.172889	-9.718970	1.407705	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.379880	-9.834560	1.494660	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.595470	-9.950150	1.494660	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.788478	0.000000	1.493572	15.033276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.000193	0.000000	1.494404	13.983276	14.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-20.207197	0.000000	1.494535	12.933276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	957.764783	0.000000	10001.494015	11.883276	13.000000	0.000000	0	0	0	0	0	0	0	1
1.1	-18.606342	0.000000	1.493999	10.833276	12.000000	0.000000	0	0	0	0	0	0	0	0
1.2	-18.800722	0.000000	1.492841	9.933276	12.000000	0.000000	0	0	0	0	0	0	0	0
1.3	-17.989953	0.000000	1.493189	9.033276	11.000000	0.000000	0	0	0	0	0	0	0	0
1.4	-18.196204	0.000000	1.494190	7.904745	11.000000	0.000000	0	0	0	0	0	0	0	0
1.5	952.191464	0.000000	10001.493016	7.383276	10.000000	0.000000	0	0	0	0	0	0	0	1
1.6	-16.532585	0.000000	1.492613	6.633276	9.000000	0.000000	0	0	0	0	0	0	0	0
1.7	-16.703732	0.000000	1.493221	5.883916	9.000000	0.000000	0	0	0	0	0	0	0	0
1.8	-16.873840	0.000000	1.491487	5.285657	9.000000	0.000000	0	0	0	0	0	0	0	0
1.9	-16.038876	0.000000	1.490519	4.685687	8.000000	0.000000	0	0	0	0	0	0	0	0
2.0	-16.198373	0.000000	1.488734	4.086471	8.000000	0.000000	0	0	0	0	0	0	0	0
2.1	-15.352963	0.000000	1.484006	3.474400	7.000000	0.000000	0	0	0	0	0	0	0	0
2.2	-15.510319	0.000000	1.481764	2.988747	7.000000	0.000000	0	0	0	0	0	0	0	0
2.3	-15.664509	0.000000	1.481801	2.473112	7.000000	0.000000	0	0	0	0	0	0	0	0
2.4	-15.817696	0.000000	1.466381	1.904397	7.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-14.980753	0.000000	1.369827	1.475677	6.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.158006	0.000000	1.196407	0.615246	6.000000	0.000000	0	0	0	0	0	0	0	0
2.7	-15.310770	0.000000	0.974546	0.451422	6.000000	0.000000	0	0	0	0	0	0	0	0
2.8	-15.429413	0.000000	0.736763	0.431662	6.000000	0.000000	0	0	0	0	0	0	0	0
2.9	-15.557347	0.000000	0.491906	0.392322	6.000000	0.000000	0	0	0	0	0	0	0	0
3.0	403.631756	0.000000	10000.268615	0.328881	6.000000	0.000000	0	0	0	0	0	0	0	1
3.1	-15.120518	0.000000	20.160349	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
3.2	-15.420389	0.000000	20.048279	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
4.0	298.561210	335.408217	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.1	287.746207	324.694341	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.2	288.009798	325.058427	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.3	288.034683	325.183402	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.4	287.571521	324.820340	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.5	286.734094	324.083022	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.6	286.798372	324.247354	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.7	286.621776	324.170779	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.8	287.334684	324.983737	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	272.709946	308.274741	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.0	262.822931	298.487744	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
