time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.585269	1.570796	7.706000	-2.940000	3.000000
0.300000	-1.750000	192.341103	1.570796	7.412000	-2.940000	3.000000
0.400000	-1.750000	193.067546	1.570796	7.118000	-2.940000	3.000000
0.500000	-1.750000	193.764638	1.570796	6.824000	-2.940000	3.000000
0.600000	-1.750000	194.432262	1.570796	6.530000	-2.940000	3.000000
0.700000	-1.750002	195.070838	1.570839	6.280238	0.980000	2.000000
0.800000	-1.750700	195.703787	1.573647	6.378238	0.980000	2.000000
0.900000	-1.754552	196.346527	1.580465	6.476238	0.980000	2.000000
1.000000	-1.764014	196.999007	1.590504	6.574238	0.980000	2.000000
1.100000	-1.781109	197.661132	1.602938	6.672238	0.980000	2.000000
1.200000	-1.807376	198.332758	1.616921	6.770238	0.980000	2.000000
1.300000	-1.843825	199.013716	1.631577	6.868238	0.980000	2.000000
1.400000	-1.890883	199.703839	1.646015	6.966238	0.980000	2.000000
1.500000	-1.947922	200.398118	1.659222	6.966238	0.000000	4.000000
1.600000	-2.013894	201.096531	1.670292	7.064238	0.980000	2.000000
1.700000	-2.087625	201.804030	1.678380	7.162238	0.980000	2.000000
1.800000	-2.166812	202.520808	1.682536	7.260238	0.980000	2.000000
1.900000	-2.248388	203.247185	1.681879	7.358238	0.980000	2.000000
2.000000	-2.328014	203.978687	1.675622	7.358238	0.000000	4.000000
2.100000	-2.400797	204.710897	1.663101	7.358238	0.000000	4.000000
2.200000	-2.461920	205.444165	1.643743	7.358238	0.000000	4.000000
2.300000	-2.506166	206.178634	1.617072	7.358238	0.000000	4.000000
2.400000	-2.527995	206.914096	1.582738	7.358238	0.000000	4.000000
2.500000	-2.521661	207.649834	1.540507	7.358238	0.000000	4.000000
2.600000	-2.481307	208.384468	1.490245	7.358238	0.000000	4.000000
2.700000	-2.401276	209.115817	1.432448	7.358238	0.000000	4.000000
2.800000	-2.276659	209.840874	1.367962	7.358238	0.000000	4.000000
2.900000	-2.103358	210.555831	1.297345	7.358238	0.000000	4.000000
3.000000	-1.877993	211.256093	1.220915	7.358238	0.000000	4.000000
3.100000	-1.604081	211.922894	1.140477	7.064238	-2.940000	3.000000
