time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	517.124405	-9.250000	2147.252352	3503.185201	30.000000	0.000000	1	0	0	0	0	0	0	0
0.1	539.288158	0.630000	2170.570080	3503.185201	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	979.265034	555.049472	2208.022879	2449.848484	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	966.244495	554.936078	2168.490785	2449.848484	38.000000	0.000000	1	0	1	0	0	0	0	0
0.4	967.035518	554.827094	2168.490646	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.5	966.830953	554.722528	2168.490625	2449.848484	37.000000	0.000000	1	0	1	0	0	0	0	0
0.6	967.630795	554.622362	2168.490441	2449.848484	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	968.962531	555.053886	2168.491432	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.8	670.711271	0.000000	2169.029203	4977.861370	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	966.012246	551.308385	2168.468932	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.0	965.243016	550.639204	2168.468701	2449.848484	34.000000	0.000000	1	0	1	0	0	0	0	0
1.1	691.165862	0.000000	2170.024899	5166.143570	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	964.658011	548.258421	2168.448844	2449.848484	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	608.936074	0.000000	2174.483971	4313.647343	31.000000	0.000000	1	0	1	0	0	0	0	0
1.4	963.241146	546.047979	2168.418640	2449.848484	31.000000	0.000000	1	0	1	0	0	0	0	0
1.5	700.958332	0.000000	2170.762982	5234.092312	30.000000	0.000000	1	0	1	0	0	0	0	0
1.6	758.647567	0.000000	2169.814742	5886.619207	39.000000	0.000000	1	0	1	0	0	0	0	0
1.7	758.580073	0.000000	2169.814972	5891.408511	39.000000	0.000000	1	0	1	0	0	0	0	0
1.8	485.005773	525.950236	13.472342	15.297885	38.000000	0.000000	0	0	1	0	0	0	0	0
1.9	689.246439	670.401581	13.472342	504.901058	37.000000	0.000000	0	0	1	0	0	0	0	0
2.0	667.786086	660.122737	0.000000	504.901058	37.000000	0.000000	0	0	0	0	0	0	0	0
2.1	483.903896	523.332235	0.000000	15.297885	36.000000	0.000000	0	0	0	0	0	0	0	0
2.2	484.238354	522.766728	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.3	480.781676	519.410084	0.000000	15.297885	35.000000	0.000000	0	0	0	0	0	0	0	0
2.4	493.291972	530.656155	13.472342	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
2.5	963.346743	511.320248	2158.367610	2797.999482	34.000000	0.000000	1	0	1	0	0	0	0	0
2.6	507.592416	544.122739	13.472342	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
2.7	956.210515	505.142726	2132.233343	2797.999482	33.000000	0.000000	1	0	0	0	0	0	0	0
2.8	512.836029	549.037795	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
2.9	499.847171	536.148959	0.000000	15.297885	32.000000	0.000000	0	0	0	0	0	0	0	0
3.0	2563.564762	0.000000	23582.098619	2543.889187	11.000000	0.000000	1	0	0	0	0	0	0	2
